benchmark_id	condition	variant	gate_mode	tau	collection	reason	count	n_type_total	fraction_within_type	reason_type
PANCAN_TP53_v1	LUAD	ours	hard	0.2	GO	Under-supported	20	26	0.7692307692307693	ABSTAIN
PANCAN_TP53_v1	LUAD	ours	hard	0.2	GO	Context gate	5	26	0.19230769230769232	ABSTAIN
PANCAN_TP53_v1	LUAD	ours	hard	0.2	GO	Context-nonspecific	1	26	0.038461538461538464	ABSTAIN
PANCAN_TP53_v1	LUAD	ours	hard	0.2	Reactome	Under-supported	11	19	0.5789473684210527	ABSTAIN
PANCAN_TP53_v1	LUAD	ours	hard	0.2	Reactome	Context gate	4	19	0.21052631578947367	ABSTAIN
PANCAN_TP53_v1	LUAD	ours	hard	0.2	Reactome	Missing evidence genes	3	19	0.15789473684210525	ABSTAIN
PANCAN_TP53_v1	LUAD	ours	hard	0.2	Reactome	Context-nonspecific	1	19	0.05263157894736842	ABSTAIN
PANCAN_TP53_v1	LUAD	ours	hard	0.2	KEGG	Context gate	12	21	0.5714285714285714	ABSTAIN
PANCAN_TP53_v1	LUAD	ours	hard	0.2	KEGG	Under-supported	8	21	0.38095238095238093	ABSTAIN
PANCAN_TP53_v1	LUAD	ours	hard	0.2	KEGG	Missing evidence genes	1	21	0.047619047619047616	ABSTAIN
PANCAN_TP53_v1	LUSC	ours	hard	0.2	Hallmark	Context gate	9	11	0.8181818181818182	ABSTAIN
PANCAN_TP53_v1	LUSC	ours	hard	0.2	Hallmark	Context-nonspecific	2	11	0.18181818181818182	ABSTAIN
PANCAN_TP53_v1	LUSC	ours	hard	0.2	GO	Under-supported	17	28	0.6071428571428571	ABSTAIN
PANCAN_TP53_v1	LUSC	ours	hard	0.2	GO	Context gate	5	28	0.17857142857142858	ABSTAIN
PANCAN_TP53_v1	LUSC	ours	hard	0.2	GO	Context-nonspecific	4	28	0.14285714285714285	ABSTAIN
PANCAN_TP53_v1	LUSC	ours	hard	0.2	GO	Hub bridge	1	28	0.03571428571428571	ABSTAIN
PANCAN_TP53_v1	LUSC	ours	hard	0.2	GO	Missing evidence genes	1	28	0.03571428571428571	ABSTAIN
PANCAN_TP53_v1	LUSC	ours	hard	0.2	Reactome	Under-supported	6	14	0.42857142857142855	ABSTAIN
PANCAN_TP53_v1	LUSC	ours	hard	0.2	Reactome	Context gate	5	14	0.35714285714285715	ABSTAIN
PANCAN_TP53_v1	LUSC	ours	hard	0.2	Reactome	Context-nonspecific	3	14	0.21428571428571427	ABSTAIN
PANCAN_TP53_v1	LUSC	ours	hard	0.2	KEGG	Context gate	11	17	0.6470588235294118	ABSTAIN
PANCAN_TP53_v1	LUSC	ours	hard	0.2	KEGG	Under-supported	5	17	0.29411764705882354	ABSTAIN
PANCAN_TP53_v1	LUSC	ours	hard	0.2	KEGG	Context-nonspecific	1	17	0.058823529411764705	ABSTAIN
PANCAN_TP53_v1	OV	ours	hard	0.2	Hallmark	Context gate	13	14	0.9285714285714286	ABSTAIN
PANCAN_TP53_v1	OV	ours	hard	0.2	Hallmark	Context-nonspecific	1	14	0.07142857142857142	ABSTAIN
PANCAN_TP53_v1	OV	ours	hard	0.2	GO	Under-supported	11	22	0.5	ABSTAIN
PANCAN_TP53_v1	OV	ours	hard	0.2	GO	Context gate	5	22	0.22727272727272727	ABSTAIN
PANCAN_TP53_v1	OV	ours	hard	0.2	GO	Context-nonspecific	5	22	0.22727272727272727	ABSTAIN
PANCAN_TP53_v1	OV	ours	hard	0.2	GO	Missing evidence genes	1	22	0.045454545454545456	ABSTAIN
PANCAN_TP53_v1	OV	ours	hard	0.2	Reactome	Under-supported	17	25	0.68	ABSTAIN
PANCAN_TP53_v1	OV	ours	hard	0.2	Reactome	Context gate	8	25	0.32	ABSTAIN
PANCAN_TP53_v1	OV	ours	hard	0.2	KEGG	Context gate	8	19	0.42105263157894735	ABSTAIN
PANCAN_TP53_v1	OV	ours	hard	0.2	KEGG	Under-supported	7	19	0.3684210526315789	ABSTAIN
PANCAN_TP53_v1	OV	ours	hard	0.2	KEGG	Context-nonspecific	4	19	0.21052631578947367	ABSTAIN
PANCAN_TP53_v1	SKCM	ours	hard	0.2	Hallmark	Context gate	10	17	0.5882352941176471	ABSTAIN
PANCAN_TP53_v1	SKCM	ours	hard	0.2	Hallmark	Context-nonspecific	7	17	0.4117647058823529	ABSTAIN
PANCAN_TP53_v1	SKCM	ours	hard	0.2	GO	Context gate	6	13	0.46153846153846156	ABSTAIN
PANCAN_TP53_v1	SKCM	ours	hard	0.2	GO	Context-nonspecific	3	13	0.23076923076923078	ABSTAIN
PANCAN_TP53_v1	SKCM	ours	hard	0.2	GO	Under-supported	3	13	0.23076923076923078	ABSTAIN
PANCAN_TP53_v1	SKCM	ours	hard	0.2	GO	Hub bridge	1	13	0.07692307692307693	ABSTAIN
PANCAN_TP53_v1	SKCM	ours	hard	0.2	Reactome	Under-supported	12	23	0.5217391304347826	ABSTAIN
PANCAN_TP53_v1	SKCM	ours	hard	0.2	Reactome	Context gate	5	23	0.21739130434782608	ABSTAIN
PANCAN_TP53_v1	SKCM	ours	hard	0.2	Reactome	Context-nonspecific	3	23	0.13043478260869565	ABSTAIN
PANCAN_TP53_v1	SKCM	ours	hard	0.2	Reactome	Missing evidence genes	3	23	0.13043478260869565	ABSTAIN
PANCAN_TP53_v1	SKCM	ours	hard	0.2	KEGG	Under-supported	8	16	0.5	ABSTAIN
PANCAN_TP53_v1	SKCM	ours	hard	0.2	KEGG	Context gate	7	16	0.4375	ABSTAIN
PANCAN_TP53_v1	SKCM	ours	hard	0.2	KEGG	Missing evidence genes	1	16	0.0625	ABSTAIN
PANCAN_TP53_v1	UCEC	ours	hard	0.2	Hallmark	Context gate	6	11	0.5454545454545454	ABSTAIN
PANCAN_TP53_v1	UCEC	ours	hard	0.2	Hallmark	Context-nonspecific	5	11	0.45454545454545453	ABSTAIN
PANCAN_TP53_v1	UCEC	ours	hard	0.2	GO	Under-supported	10	21	0.47619047619047616	ABSTAIN
PANCAN_TP53_v1	UCEC	ours	hard	0.2	GO	Context gate	9	21	0.42857142857142855	ABSTAIN
PANCAN_TP53_v1	UCEC	ours	hard	0.2	GO	Context-nonspecific	2	21	0.09523809523809523	ABSTAIN
PANCAN_TP53_v1	UCEC	ours	hard	0.2	Reactome	Context gate	9	21	0.42857142857142855	ABSTAIN
PANCAN_TP53_v1	UCEC	ours	hard	0.2	Reactome	Context-nonspecific	4	21	0.19047619047619047	ABSTAIN
PANCAN_TP53_v1	UCEC	ours	hard	0.2	Reactome	Missing evidence genes	4	21	0.19047619047619047	ABSTAIN
PANCAN_TP53_v1	UCEC	ours	hard	0.2	Reactome	Under-supported	4	21	0.19047619047619047	ABSTAIN
PANCAN_TP53_v1	UCEC	ours	hard	0.2	KEGG	Context gate	10	19	0.5263157894736842	ABSTAIN
PANCAN_TP53_v1	UCEC	ours	hard	0.2	KEGG	Context-nonspecific	4	19	0.21052631578947367	ABSTAIN
PANCAN_TP53_v1	UCEC	ours	hard	0.2	KEGG	Under-supported	4	19	0.21052631578947367	ABSTAIN
PANCAN_TP53_v1	UCEC	ours	hard	0.2	KEGG	Missing evidence genes	1	19	0.05263157894736842	ABSTAIN
