figure_id,panel,pipeline_id,kind,source_data_file,script,input_paths,output_paths,provenance_note,notes
Fig2,d,PANCAN_TP53_v1,panel_data,journal_source_data/SourceData_Fig2.xlsx,paper/scripts/fig2_plot_abstain_reasons.py,paper/source_data/PANCAN_TP53_v1/out_fig2/HNSC/ours/gate_hard/tau_0.90/audit_log.tsv;paper/source_data/PANCAN_TP53_v1/out_fig2/HNSC/context_swap/gate_hard/tau_0.90/audit_log.tsv;paper/source_data/PANCAN_TP53_v1/out_fig2/HNSC/stress/gate_hard/tau_0.90/audit_log.tsv,paper/source_data/PANCAN_TP53_v1/fig/Fig2_HNSC_abstain_reasons_tau0.90.pdf,Computes ABSTAIN reason composition directly from audit_log.tsv (reason codes are tool-owned and versioned).,HNSC; tau=0.90; reason codes defined in src/llm_pathway_curator/audit_reasons.py.
Fig2,"e, f",PANCAN_TP53_v1,collect,NA,paper/scripts/fig2_make_claims_ranked_tsv.py,paper/source_data/PANCAN_TP53_v1/out_fig2/HNSC/ours/gate_hard/tau_0.90,paper/source_data/PANCAN_TP53_v1/fig/Fig2/claims_ranked.tsv,Builds claims_ranked.tsv (figure-friendly shortlist) from audit_log.tsv (+ optional evidence.normalized.tsv); ranking prefers -log10(q) when available (--prefer-q).,HNSC; tau=0.90; VARIANT=ours; GATE=gate_hard; decision filter applied at plotting (PASS).
Fig2,e,PANCAN_TP53_v1,panel_data,journal_source_data/SourceData_Fig2.xlsx,paper/scripts/fig2_plot_claims_ranked.py,paper/source_data/PANCAN_TP53_v1/fig/Fig2/claims_ranked.tsv,paper/source_data/PANCAN_TP53_v1/fig/Fig2/Fig2_ranked_packed.pdf;paper/source_data/PANCAN_TP53_v1/fig/Fig2/Fig2_ranked_packed.direction.pdf,"Renders ranked packed-circle plots from claims_ranked.tsv (outer=modules, inner=terms); optional direction-shaded term colors via --term-color-mode direction.",HNSC; tau=0.90; PASS; MODE=packed; also emits packed.direction variant.
Fig2,f,PANCAN_TP53_v1,panel_data,journal_source_data/SourceData_Fig2.xlsx,paper/scripts/fig2_plot_claims_ranked.py,paper/source_data/PANCAN_TP53_v1/fig/Fig2/claims_ranked.tsv,paper/source_data/PANCAN_TP53_v1/fig/Fig2/Fig2_metascape_like_PASS.pdf,Metascape-like ranked bar plot (top-n=50) grouped by module with left strip + M## tags; bars colored by direction.,HNSC; tau=0.90; PASS; MODE=bars; top-n=50; group-by-module; left-strip; strip-labels; bar-color-mode=direction; module-cmap=tab20.
EDFig1,"a,b,c",NA,biorender,NA,NA,NA,paper/source_data/BioRender_Figs/EDFig/EDFig1.pdf,Created with BioRender.com (non-scripted figure).,Schema/contract schematic only.
EDFig2,"a,b,c,d",PANCAN_TP53_v1,run,NA,paper/scripts/figS2_run_collections_pipeline.py,paper/source_data/PANCAN_TP53_v1/evidence_tables/<CANCER>.<COLLECTION>_<SUBCATEGORY>.evidence_table.tsv;paper/source_data/PANCAN_TP53_v1/sample_cards/<CANCER>.hard.sample_card.json,paper/source_data/PANCAN_TP53_v1/out_figS2/<COLLECTION>_<SUBCATEGORY>/<CANCER>/<VARIANT>/<GATE>/tau_<TAU>/,"Multi-collection runs; pins k=50, seed=42, _=0.2 (as plotted); emits run_meta*.json and audit_log.tsv.","CANCER: HNSC, LUAD, LUSC, BRCA, OV, UCEC, SKCM; COLLECTION_SUBCATEGORY: C5_GO_BP,H,C2_CP_REACTOME,C2_CP_KEGG_MEDICUS; VARIANT=ours; GATE=gate_hard."
EDFig2,"a,b,c,d",PANCAN_TP53_v1,export,journal_source_data/SourceData_EDFig2.xlsx,paper/scripts/figS2_export_panel_source_csv.py,paper/source_data/PANCAN_TP53_v1/out_figS2/collection_metrics/collections_summary_wide.tsv;paper/source_data/PANCAN_TP53_v1/out_figS2/collection_metrics/audit_reasons_long.tsv,paper/journal_source_data/edfig2_csv/*.csv,Exports per-panel CSVs used to populate SourceData_EDFig2.xlsx.,Publication Source Data artifacts; avoid silent regeneration without updating checksums/version notes.
EDFig2,"a,b,c,d",PANCAN_TP53_v1,plot,journal_source_data/SourceData_EDFig2.xlsx,paper/scripts/figS2_plot_collection_panels.py,paper/source_data/PANCAN_TP53_v1/out_figS2/collection_metrics/collections_summary_wide.tsv;paper/source_data/PANCAN_TP53_v1/out_figS2/collection_metrics/audit_reasons_long.tsv,paper/source_data/PANCAN_TP53_v1/fig/EDFig2.pdf,Renders EDFig2 from exported summary tables with fixed mapping to SourceData sheets.,Panel mapping and sheet names must match SourceData_EDFig2.xlsx.
EDFig3,"a,b",PANCAN_TP53_v1,run,journal_source_data/SourceData_EDFig3.xlsx,paper/scripts/fig2_run_pipeline.py,paper/source_data/PANCAN_TP53_v1/evidence_tables/HNSC.evidence_table.tsv;paper/source_data/PANCAN_TP53_v1/sample_cards/HNSC.hard.sample_card.json,paper/source_data/PANCAN_TP53_v1/out_figS3/HNSC/ours/gate_hard/tau_0.80/,"HNSC LLM-assisted run (ours); pins k=50, seed=42, tau=0.80; emits run_meta*.json plus LLM artifacts when enabled.",Env: LLMPATH_BACKEND=ollama; LLMPATH_OLLAMA_MODEL=llama3.1:8b; LLMPATH_CLAIM_MODE=llm; context_review_mode=llm; gate_mode=hard; --force.
EDFig3,"a,b",PANCAN_TP53_v1,export,NA,paper/scripts/figS3_make_llm_examples.py,paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80;paper/source_data/PANCAN_TP53_v1/evidence_tables/HNSC.evidence_table.tsv,paper/source_data/PANCAN_TP53_v1/out_figS3/llm_examples/examples/*.json;paper/source_data/PANCAN_TP53_v1/out_figS3/llm_examples/examples/*.tsv,"Exports minimal, audit-linked LLM example packs (proposal vs audit decisions) for the paper.",Examples are non-claiming artifacts: evidence refs + schema-bounded JSON + decision objects.
EDFig3,a,PANCAN_TP53_v1,label,NA,paper/scripts/fig2_make_labels_template.py,paper/source_data/PANCAN_TP53_v1/out_figS3,paper/source_data/PANCAN_TP53_v1/out_figS3/labels/labels_llm_hnsc_R1_v1.tsv,Generates human-label template for EDFig3 (LLM-assisted slice).,Template/schema only if labels are restricted.
EDFig3,a,PANCAN_TP53_v1,label,NA,paper/scripts/fig2_check_labels_merge.py,paper/source_data/PANCAN_TP53_v1/out_figS3/labels/labels_llm_hnsc_R1_v1.20260206.tsv,NA,Validates/normalizes merged labels for EDFig3 aggregation.,Deterministic checks only.
EDFig3,a,PANCAN_TP53_v1,collect,journal_source_data/SourceData_EDFig3.xlsx,paper/scripts/fig2_collect_risk_coverage.py,paper/source_data/PANCAN_TP53_v1/out_figS3;paper/source_data/PANCAN_TP53_v1/out_figS3/labels/labels_llm_hnsc_R1_v1.20260206.tsv,paper/source_data/PANCAN_TP53_v1/out_figS3/risk_coverage.label.with_llm.tsv,Aggregates EDFig3 plotting table including the LLM-assisted slice.,HNSC only; includes baseline variants + LLM-assisted point(s) per legend; sheet mapping documented in SourceData_EDFig3.xlsx.
EDFig3,a,PANCAN_TP53_v1,plot,journal_source_data/SourceData_EDFig3.xlsx,paper/scripts/fig2_plot_scatter_human_risk.py,paper/source_data/PANCAN_TP53_v1/out_figS3/risk_coverage.label.with_llm.tsv,paper/source_data/PANCAN_TP53_v1/out_figS3/fig/EDFig3_HNSC_scatter_human_risk_with_llm.pdf,Renders EDFig3a from risk_coverage.label.with_llm.tsv.,HNSC; points as in legend; LLM-assisted slice annotated in plot.
EDFig3,b,PANCAN_TP53_v1,plot,journal_source_data/SourceData_EDFig3.xlsx,paper/scripts/fig2_plot_abstain_reasons.py,paper/source_data/PANCAN_TP53_v1/out_figS3/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv;paper/source_data/PANCAN_TP53_v1/out_fig2/HNSC/context_swap/gate_hard/tau_0.80/audit_log.tsv;paper/source_data/PANCAN_TP53_v1/out_fig2/HNSC/stress/gate_hard/tau_0.80/audit_log.tsv,paper/source_data/PANCAN_TP53_v1/out_figS3/fig/EDFig3_HNSC_abstain_reasons_tau0.80_with_llm.pdf,Computes ABSTAIN reason composition at _=0.80 for baseline vs LLM-assisted comparison.,HNSC; tau=0.80; reason codes are identical to Fig2/EDFig2 (tool-owned).
EDFig4,"a,b,c,d",BEATAML_TP53_v1,fetch,NA,paper/scripts/figS4_beataml_fetch_inputs.py,paper/config/benchmarks.csv,paper/source_data/BEATAML_TP53_v1/raw/beataml_waves1to4_counts_dbgap.txt;paper/source_data/BEATAML_TP53_v1/raw/beataml_wes_wv1to4_mutations_dbgap.txt;paper/source_data/BEATAML_TP53_v1/raw/beataml_wv1to4_clinical.xlsx,"Downloads BeatAML2 harmonized processed_tables (counts, mutation calls, clinical) from the BeatAML2 data portal / GitHub release (URLs pinned); does not re-download if present.",Processed tables are publicly released (CC BY 4.0). Raw sequencing FASTQs are accessed separately via GDC/dbGaP (controlled access) and are not fetched by this script.
EDFig4,"a,b,c,d",BEATAML_TP53_v1,groups,NA,paper/scripts/figS4_beataml_make_groups.py,paper/source_data/BEATAML_TP53_v1/raw/beataml_wes_wv1to4_mutations_dbgap.txt;paper/source_data/BEATAML_TP53_v1/raw/beataml_wv1to4_clinical.xlsx,paper/source_data/BEATAML_TP53_v1/derived/groups/BEATAML.groups.tsv;paper/source_data/BEATAML_TP53_v1/derived/groups/BEATAML.groups.debug.txt,TP53 mut/wt grouping for BeatAML; deterministic inclusion/exclusion rules in script.,Inclusion: RNA-seq flagged for analysis; TP53-mut from protein-altering variants.
EDFig4,"a,b,c,d",BEATAML_TP53_v1,cards,NA,paper/scripts/figS4_beataml_make_sample_cards.py,paper/source_data/BEATAML_TP53_v1/derived/groups/BEATAML.groups.tsv,paper/source_data/BEATAML_TP53_v1/sample_cards/(BEATAML|BEATAML_SWAP).<CARD_MODE>.sample_card.json,Writes matched vs swapped Sample Cards for BeatAML (contract: schema + canonical keys).,"CARD_MODE _ {note, hard}; paper analyses use CARD_MODE=hard unless stated."
EDFig4,"a,b,c,d",BEATAML_TP53_v1,rank,NA,paper/scripts/figS4_beataml_deg_rank.R,paper/source_data/BEATAML_TP53_v1/raw/beataml_waves1to4_counts_dbgap.txt;paper/source_data/BEATAML_TP53_v1/derived/groups/BEATAML.groups.tsv,paper/source_data/BEATAML_TP53_v1/derived/rankings/BEATAML.deg_ranking.tsv,DE ranking (TP53 mut vs wt); ranking method pinned by script.,Validation cohort (BeatAML2).
EDFig4,"a,b,c,d",BEATAML_TP53_v1,evidence,NA,paper/scripts/figS4_beataml_fgsea_to_evidence_table.R,paper/source_data/BEATAML_TP53_v1/derived/rankings/BEATAML.deg_ranking.tsv,paper/source_data/BEATAML_TP53_v1/evidence_tables/BEATAML.evidence_table.tsv,EvidenceTable construction (fgsea leadingEdge _ evidence_genes); deterministic column contract.,term_id/stat/qval/direction/evidence_genes.
EDFig4,"a,b,c,d",BEATAML_TP53_v1,run,NA,paper/scripts/fig2_run_pipeline.py,paper/source_data/BEATAML_TP53_v1/evidence_tables/BEATAML.evidence_table.tsv;paper/source_data/BEATAML_TP53_v1/sample_cards/BEATAML.hard.sample_card.json,paper/source_data/BEATAML_TP53_v1/out_figS4/BEATAML/<VARIANT>/<GATE>/tau_<TAU>/,"LLM-PathwayCurator run on BeatAML; pins k=50, seed=42, _ sweep (0.2–0.9); emits run_meta*.json and audit_log.tsv.","VARIANT _ {ours, context_swap, stress} (context_swap uses BEATAML_SWAP card internally); GATE=gate_hard; stress params as in Fig2."
EDFig4,a,BEATAML_TP53_v1,panel_data,journal_source_data/SourceData_EDFig4.xlsx,paper/scripts/fig2_plot_multipanel.py,paper/source_data/BEATAML_TP53_v1/out_figS4/risk_coverage.tsv,paper/source_data/BEATAML_TP53_v1/fig/FigS4/FigS4_multipanel_abstain_variants.pdf,Renders EDFig4a from BeatAML risk_coverage table.,"condition: BEATAML; VARIANT _ {ours, context_swap, stress};tau_ {0.2,0.4,0.6,0.8,0.9}."
EDFig4,b,BEATAML_TP53_v1,panel_data,journal_source_data/SourceData_EDFig4.xlsx,paper/scripts/fig2_plot_lines_status_by_tau.py,paper/source_data/BEATAML_TP53_v1/out_figS4/risk_coverage.tsv,paper/source_data/BEATAML_TP53_v1/fig/FigS4/FigS4_abstain_vs_tau_variants.pdf,Renders EDFig4b: ABSTAIN rate vs _ from BeatAML risk_coverage table.,"condition: BEATAML; gate=hard; VARIANT _ {ours, context_swap, stress}."
EDFig4,c,BEATAML_TP53_v1,label,NA,paper/scripts/fig2_make_labels_template.py,paper/source_data/BEATAML_TP53_v1/out_figS4,paper/source_data/BEATAML_TP53_v1/labels/labels_beataml_R1_v1.tsv,Generates human-label template for BeatAML decision-grade acceptability.,Template/schema only if labels are restricted.
EDFig4,c,BEATAML_TP53_v1,label,NA,paper/scripts/fig2_check_labels_merge.py,paper/source_data/BEATAML_TP53_v1/labels/labels_beataml_R1_v1.20260203.tsv,NA,Validates/normalizes merged labels for BeatAML aggregation.,Deterministic checks only.
EDFig4,c,BEATAML_TP53_v1,panel_data,journal_source_data/SourceData_EDFig4.xlsx,paper/scripts/fig2_plot_scatter_human_risk.py,paper/source_data/BEATAML_TP53_v1/out_figS4/risk_coverage.label.tsv,paper/source_data/BEATAML_TP53_v1/fig/FigS4/FigS4_BEATAML_scatter_human_risk.pdf,Renders EDFig4c: PASS coverage vs human non-accept risk (BeatAML).,"BeatAML; VARIANT _ {ours, context_swap, stress};tau_ {0.2,0.4,0.6,0.8,0.9}."
EDFig4,d,BEATAML_TP53_v1,panel_data,journal_source_data/SourceData_EDFig4.xlsx,paper/scripts/fig2_plot_abstain_reasons.py,paper/source_data/BEATAML_TP53_v1/out_figS4/BEATAML/ours/gate_hard/tau_0.90/audit_log.tsv;paper/source_data/BEATAML_TP53_v1/out_figS4/BEATAML/context_swap/gate_hard/tau_0.90/audit_log.tsv;paper/source_data/BEATAML_TP53_v1/out_figS4/BEATAML/stress/gate_hard/tau_0.90/audit_log.tsv,paper/source_data/BEATAML_TP53_v1/fig/FigS4/FigS4_abstain_reasons_tau0.90.pdf,Computes ABSTAIN reason composition directly from audit_log.tsv (reason codes are tool-owned and versioned).,BeatAML; tau=0.90.
EDFig4,"e, f",BEATAML_TP53_v1,collect,NA,paper/scripts/fig2_make_claims_ranked_tsv.py,paper/source_data/BEATAML_TP53_v1/out_figS4/BEATAML/ours/gate_hard/tau_0.90,paper/source_data/BEATAML_TP53_v1/fig/FigS4/claims_ranked.tsv,Builds claims_ranked.tsv (figure-friendly shortlist) from audit_log.tsv (+ optional evidence.normalized.tsv); ranking prefers -log10(q) when available (--prefer-q).,BEATAML; tau=0.90; VARIANT=ours; GATE=gate_hard; decision filter applied at plotting (PASS).
EDFig4,e,BEATAML_TP53_v1,panel_data,journal_source_data/SourceData_EDFig4.xlsx,paper/scripts/fig2_plot_claims_ranked.py,paper/source_data/BEATAML_TP53_v1/fig/FigS4/claims_ranked.tsv,paper/source_data/BEATAML_TP53_v1/fig/FigS4/FigS4_ranked_packed.pdf;paper/source_data/BEATAML_TP53_v1/fig/FigS4/FigS4_ranked_packed.direction.pdf,"Renders ranked packed-circle plots from claims_ranked.tsv (outer=modules, inner=terms); optional direction-shaded term colors via --term-color-mode direction; module labels hidden via --hide-module-labels.",BEATAML; tau=0.90; PASS; MODE=packed; hide-module-labels; also emits packed.direction variant.
EDFig4,f,BEATAML_TP53_v1,panel_data,journal_source_data/SourceData_EDFig4.xlsx,paper/scripts/fig2_plot_claims_ranked.py,paper/source_data/BEATAML_TP53_v1/fig/FigS4/claims_ranked.tsv,paper/source_data/BEATAML_TP53_v1/fig/FigS4/FigS4_metascape_like_PASS.pdf,Metascape-like ranked bar plot (top-n=50) grouped by module with left strip + M## tags; bars colored by direction.,BEATAML; tau=0.90; PASS; MODE=bars; top-n=50; group-by-module; left-strip; strip-labels; bar-color-mode=direction; module-cmap=tab20.
