sample	group
TCGA-22-5491-01	TP53_mut
TCGA-52-7809-01	TP53_mut
TCGA-56-5897-01	TP53_mut
TCGA-56-8201-01	TP53_mut
TCGA-56-8504-01	TP53_mut
TCGA-60-2725-01	TP53_mut
TCGA-63-A5MT-01	TP53_mut
TCGA-68-7757-01	TP53_mut
TCGA-77-6843-01	TP53_mut
TCGA-77-6844-01	TP53_mut
TCGA-77-8133-01	TP53_mut
TCGA-77-8138-01	TP53_mut
TCGA-85-A4JB-01	TP53_mut
TCGA-NC-A5HF-01	TP53_mut
TCGA-18-3414-01	TP53_mut
TCGA-18-3419-01	TP53_wt
TCGA-22-1011-01	TP53_mut
TCGA-22-4604-01	TP53_mut
TCGA-33-4583-01	TP53_mut
TCGA-39-5027-01	TP53_wt
TCGA-39-5036-01	TP53_mut
TCGA-43-8116-01	TP53_mut
TCGA-56-7730-01	TP53_mut
TCGA-58-A46L-01	TP53_mut
TCGA-60-2703-01	TP53_mut
TCGA-60-2704-01	TP53_mut
TCGA-60-2721-01	TP53_mut
TCGA-66-2789-01	TP53_wt
TCGA-77-8145-01	TP53_wt
TCGA-85-7699-01	TP53_mut
TCGA-85-8664-01	TP53_mut
TCGA-94-7033-01	TP53_mut
TCGA-94-7557-01	TP53_mut
TCGA-94-8491-01	TP53_mut
TCGA-96-7545-01	TP53_mut
TCGA-98-7454-01	TP53_wt
TCGA-NC-A5HL-01	TP53_mut
TCGA-NK-A5CX-01	TP53_mut
TCGA-18-3407-01	TP53_mut
TCGA-34-5231-01	TP53_wt
TCGA-56-8305-01	TP53_wt
TCGA-66-2737-01	TP53_wt
TCGA-66-2790-01	TP53_wt
TCGA-77-8131-01	TP53_mut
TCGA-77-8139-01	TP53_mut
TCGA-77-8146-01	TP53_mut
TCGA-85-8287-01	TP53_mut
TCGA-85-8351-01	TP53_mut
TCGA-85-8353-01	TP53_mut
TCGA-21-1079-01	TP53_wt
TCGA-22-0940-01	TP53_mut
TCGA-33-6737-01	TP53_mut
TCGA-43-3920-01	TP53_mut
TCGA-43-7656-01	TP53_mut
TCGA-46-6025-01	TP53_mut
TCGA-56-8623-01	TP53_wt
TCGA-66-2744-01	TP53_mut
TCGA-66-2758-01	TP53_mut
TCGA-66-2777-01	TP53_mut
TCGA-66-2782-01	TP53_mut
TCGA-85-7844-01	TP53_mut
TCGA-85-8070-01	TP53_mut
TCGA-85-8584-01	TP53_wt
TCGA-92-7341-01	TP53_wt
TCGA-L3-A4E7-01	TP53_mut
TCGA-LA-A7SW-01	TP53_wt
TCGA-22-A5C4-01	TP53_mut
TCGA-34-2596-01	TP53_mut
TCGA-34-7107-01	TP53_mut
TCGA-39-5019-01	TP53_mut
TCGA-39-5021-01	TP53_mut
TCGA-43-5670-01	TP53_mut
TCGA-43-6143-01	TP53_mut
TCGA-56-A4BX-01	TP53_wt
TCGA-58-8390-01	TP53_wt
TCGA-58-8392-01	TP53_wt
TCGA-60-2707-01	TP53_mut
TCGA-66-2742-01	TP53_mut
TCGA-66-2800-01	TP53_mut
TCGA-77-8144-01	TP53_mut
TCGA-77-A5G8-01	TP53_mut
TCGA-77-A5GF-01	TP53_mut
TCGA-85-8277-01	TP53_mut
TCGA-85-8288-01	TP53_mut
TCGA-85-8481-01	TP53_mut
TCGA-90-7964-01	TP53_wt
TCGA-94-8490-01	TP53_wt
TCGA-98-8023-01	TP53_mut
TCGA-98-A53A-01	TP53_mut
TCGA-J1-A4AH-01	TP53_mut
TCGA-NC-A5HQ-01	TP53_mut
TCGA-NK-A5CT-01	TP53_mut
TCGA-21-1081-01	TP53_wt
TCGA-22-1002-01	TP53_mut
TCGA-37-3792-01	TP53_mut
TCGA-56-5898-01	TP53_mut
TCGA-60-2709-01	TP53_mut
TCGA-63-A5MV-01	TP53_mut
TCGA-66-2753-01	TP53_wt
TCGA-66-2773-01	TP53_mut
TCGA-77-6845-01	TP53_mut
TCGA-77-8130-01	TP53_mut
TCGA-90-A4ED-01	TP53_wt
TCGA-98-A53B-01	TP53_mut
TCGA-NC-A5HP-01	TP53_mut
TCGA-NC-A5HT-01	TP53_mut
TCGA-33-4532-01	TP53_mut
TCGA-33-4547-01	TP53_mut
TCGA-37-4135-01	TP53_mut
TCGA-52-7812-01	TP53_wt
TCGA-56-8622-01	TP53_mut
TCGA-63-A5MG-01	TP53_wt
TCGA-63-A5MH-01	TP53_mut
TCGA-63-A5ML-01	TP53_mut
TCGA-66-2756-01	TP53_mut
TCGA-66-2793-01	TP53_mut
TCGA-66-2795-01	TP53_mut
TCGA-77-8007-01	TP53_mut
TCGA-77-8008-01	TP53_mut
TCGA-77-8009-01	TP53_wt
TCGA-77-8148-01	TP53_mut
TCGA-85-A4QQ-01	TP53_mut
TCGA-98-A53D-01	TP53_wt
TCGA-LA-A446-01	TP53_wt
TCGA-18-3406-01	TP53_mut
TCGA-21-1071-01	TP53_wt
TCGA-22-5472-01	TP53_mut
TCGA-33-A5GW-01	TP53_mut
TCGA-34-8455-01	TP53_mut
TCGA-39-5029-01	TP53_mut
TCGA-52-7811-01	TP53_wt
TCGA-56-6546-01	TP53_mut
TCGA-56-A49D-01	TP53_mut
TCGA-66-2754-01	TP53_mut
TCGA-66-2781-01	TP53_mut
TCGA-66-2783-01	TP53_wt
TCGA-77-7138-01	TP53_wt
TCGA-77-8154-01	TP53_mut
TCGA-85-8352-01	TP53_mut
TCGA-85-A4QR-01	TP53_mut
TCGA-98-A538-01	TP53_mut
TCGA-21-1080-01	TP53_wt
TCGA-33-4538-01	TP53_mut
TCGA-33-AASB-01	TP53_mut
TCGA-43-A474-01	TP53_mut
TCGA-56-7223-01	TP53_mut
TCGA-56-8309-01	TP53_mut
TCGA-56-A4BY-01	TP53_mut
TCGA-60-2722-01	TP53_mut
TCGA-66-2759-01	TP53_mut
TCGA-66-2791-01	TP53_mut
TCGA-68-8250-01	TP53_mut
TCGA-77-A5G6-01	TP53_mut
TCGA-85-6561-01	TP53_mut
TCGA-85-8479-01	TP53_wt
TCGA-NK-A7XE-01	TP53_mut
TCGA-18-3417-01	TP53_wt
TCGA-18-3421-01	TP53_mut
TCGA-21-5787-01	TP53_mut
TCGA-22-1016-01	TP53_mut
TCGA-22-5477-01	TP53_mut
TCGA-37-3789-01	TP53_mut
TCGA-39-5037-01	TP53_mut
TCGA-51-4080-01	TP53_mut
TCGA-63-A5MI-01	TP53_mut
TCGA-66-2780-01	TP53_wt
TCGA-66-2785-01	TP53_mut
TCGA-70-6723-01	TP53_mut
TCGA-77-7337-01	TP53_mut
TCGA-85-8666-01	TP53_mut
TCGA-85-A4CL-01	TP53_mut
TCGA-96-A4JK-01	TP53_mut
TCGA-18-4086-01	TP53_wt
TCGA-21-1077-01	TP53_wt
TCGA-21-5786-01	TP53_mut
TCGA-22-5479-01	TP53_mut
TCGA-22-5489-01	TP53_mut
TCGA-37-5819-01	TP53_mut
TCGA-58-A46J-01	TP53_mut
TCGA-60-2713-01	TP53_mut
TCGA-66-2765-01	TP53_mut
TCGA-66-2794-01	TP53_mut
TCGA-77-7141-01	TP53_mut
TCGA-77-7338-01	TP53_mut
TCGA-77-8150-01	TP53_mut
TCGA-77-A5FZ-01	TP53_wt
TCGA-85-7696-01	TP53_mut
TCGA-90-6837-01	TP53_wt
TCGA-94-8035-01	TP53_mut
TCGA-98-A53I-01	TP53_mut
TCGA-18-4083-01	TP53_mut
TCGA-22-1005-01	TP53_wt
TCGA-37-4133-01	TP53_mut
TCGA-56-8629-01	TP53_wt
TCGA-63-A5MY-01	TP53_mut
TCGA-66-2755-01	TP53_mut
TCGA-77-A5G3-01	TP53_mut
TCGA-77-A5G7-01	TP53_mut
TCGA-85-8355-01	TP53_mut
TCGA-85-A53L-01	TP53_mut
TCGA-98-A539-01	TP53_wt
TCGA-O2-A52W-01	TP53_mut
TCGA-22-1017-01	TP53_wt
TCGA-60-2698-01	TP53_mut
TCGA-63-A5MB-01	TP53_mut
TCGA-66-2767-01	TP53_wt
TCGA-85-8048-01	TP53_mut
TCGA-85-8276-01	TP53_wt
TCGA-85-A511-01	TP53_mut
TCGA-94-A5I6-01	TP53_mut
TCGA-21-1082-01	TP53_mut
TCGA-22-0944-01	TP53_mut
TCGA-43-A56V-01	TP53_mut
TCGA-56-7579-01	TP53_mut
TCGA-58-A46M-01	TP53_mut
TCGA-85-8350-01	TP53_mut
TCGA-85-A4PA-01	TP53_wt
TCGA-94-A5I4-01	TP53_mut
TCGA-98-8022-01	TP53_wt
TCGA-33-A4WN-01	TP53_mut
TCGA-33-AASJ-01	TP53_mut
TCGA-34-5236-01	TP53_mut
TCGA-56-7222-01	TP53_mut
TCGA-58-8387-01	TP53_mut
TCGA-58-8388-01	TP53_mut
TCGA-66-2771-01	TP53_wt
TCGA-77-8128-01	TP53_mut
TCGA-77-8156-01	TP53_mut
TCGA-85-8072-01	TP53_mut
TCGA-NC-A5HE-01	TP53_wt
TCGA-37-A5EN-01	TP53_mut
TCGA-39-5040-01	TP53_wt
TCGA-56-8626-01	TP53_wt
TCGA-58-A46K-01	TP53_mut
TCGA-85-6560-01	TP53_mut
TCGA-NC-A5HG-01	TP53_mut
TCGA-NC-A5HJ-01	TP53_mut
TCGA-46-3768-01	TP53_mut
TCGA-56-1622-01	TP53_mut
TCGA-60-2706-01	TP53_wt
TCGA-66-2792-01	TP53_mut
TCGA-77-7465-01	TP53_mut
TCGA-85-A5B5-01	TP53_mut
TCGA-92-8064-01	TP53_mut
TCGA-18-5592-01	TP53_mut
TCGA-21-1075-01	TP53_wt
TCGA-22-4595-01	TP53_mut
TCGA-33-4586-01	TP53_mut
TCGA-46-3769-01	TP53_mut
TCGA-66-2768-01	TP53_wt
TCGA-66-2787-01	TP53_mut
TCGA-85-6798-01	TP53_mut
TCGA-85-8049-01	TP53_mut
TCGA-85-A50Z-01	TP53_mut
TCGA-NK-A5D1-01	TP53_mut
TCGA-37-4130-01	TP53_mut
TCGA-56-8083-01	TP53_mut
TCGA-60-2726-01	TP53_wt
TCGA-63-A5MP-01	TP53_mut
TCGA-66-2788-01	TP53_mut
TCGA-77-7139-01	TP53_mut
TCGA-90-7767-01	TP53_mut
TCGA-33-4582-01	TP53_mut
TCGA-51-4081-01	TP53_mut
TCGA-56-A4BW-01	TP53_mut
TCGA-90-7769-01	TP53_mut
TCGA-63-A5MJ-01	TP53_mut
TCGA-66-2766-01	TP53_mut
TCGA-MF-A522-01	TP53_mut
TCGA-37-A5EL-01	TP53_mut
TCGA-85-8052-01	TP53_mut
TCGA-85-8354-01	TP53_mut
TCGA-90-A4EE-01	TP53_mut
TCGA-NC-A5HH-01	TP53_wt
TCGA-18-3412-01	TP53_mut
TCGA-43-3394-01	TP53_mut
TCGA-58-A46N-01	TP53_mut
TCGA-85-8071-01	TP53_wt
TCGA-92-8063-01	TP53_mut
TCGA-37-3783-01	TP53_mut
TCGA-60-2715-01	TP53_mut
TCGA-18-5595-01	TP53_wt
TCGA-85-7843-01	TP53_mut
TCGA-37-A5EM-01	TP53_mut
TCGA-85-7697-01	TP53_mut
TCGA-85-8582-01	TP53_mut
TCGA-63-A5MU-01	TP53_mut
TCGA-85-7698-01	TP53_mut
TCGA-60-2724-01	TP53_mut
TCGA-70-6722-01	TP53_mut
TCGA-85-A50M-01	TP53_mut
TCGA-85-7950-01	TP53_mut
TCGA-85-A512-01	TP53_mut
TCGA-39-5016-01	TP53_mut
TCGA-60-2697-01	TP53_wt
TCGA-33-4566-01	TP53_mut
TCGA-60-2716-01	TP53_wt
TCGA-63-5128-01	TP53_mut
TCGA-63-5131-01	TP53_mut
TCGA-63-6202-01	TP53_mut
TCGA-63-7020-01	TP53_mut
TCGA-63-7021-01	TP53_mut
TCGA-63-7023-01	TP53_wt
TCGA-79-5596-01	TP53_mut
TCGA-34-5928-01	TP53_mut
TCGA-60-2719-01	TP53_mut
TCGA-34-2604-01	TP53_mut
TCGA-39-5030-01	TP53_wt
TCGA-21-5784-01	TP53_mut
TCGA-22-1012-01	TP53_mut
TCGA-56-8082-01	TP53_mut
TCGA-60-2712-01	TP53_wt
TCGA-22-4605-01	TP53_mut
TCGA-34-5929-01	TP53_mut
TCGA-63-A5MN-01	TP53_wt
TCGA-96-A4JL-01	TP53_wt
TCGA-18-3408-01	TP53_mut
TCGA-56-6545-01	TP53_mut
TCGA-77-8153-01	TP53_mut
TCGA-98-A53C-01	TP53_wt
TCGA-XC-AA0X-01	TP53_mut
TCGA-33-4533-01	TP53_mut
TCGA-34-2600-01	TP53_mut
TCGA-39-5031-01	TP53_mut
TCGA-43-A56U-01	TP53_wt
TCGA-56-8503-01	TP53_mut
TCGA-56-A4ZK-01	TP53_mut
TCGA-60-2696-01	TP53_wt
TCGA-98-A53H-01	TP53_wt
TCGA-34-5232-01	TP53_mut
TCGA-43-7658-01	TP53_mut
TCGA-56-A4ZJ-01	TP53_wt
TCGA-96-8170-01	TP53_mut
TCGA-98-8021-01	TP53_mut
TCGA-NC-A5HR-01	TP53_mut
TCGA-O2-A52V-01	TP53_mut
TCGA-60-2695-01	TP53_mut
TCGA-60-2723-01	TP53_mut
TCGA-68-A59J-01	TP53_mut
TCGA-77-8136-01	TP53_wt
TCGA-85-A510-01	TP53_mut
TCGA-92-8065-01	TP53_mut
TCGA-22-4599-01	TP53_mut
TCGA-22-4601-01	TP53_mut
TCGA-22-4613-01	TP53_mut
TCGA-22-5492-01	TP53_mut
TCGA-34-5240-01	TP53_mut
TCGA-39-5034-01	TP53_mut
TCGA-51-4079-01	TP53_mut
TCGA-56-8304-01	TP53_mut
TCGA-68-A59I-01	TP53_wt
TCGA-6A-AB49-01	TP53_wt
TCGA-22-5481-01	TP53_mut
TCGA-39-5035-01	TP53_mut
TCGA-43-8115-01	TP53_mut
TCGA-51-6867-01	TP53_mut
TCGA-56-A5DS-01	TP53_mut
TCGA-34-5234-01	TP53_wt
TCGA-34-8456-01	TP53_wt
TCGA-94-A4VJ-01	TP53_mut
TCGA-O2-A5IB-01	TP53_wt
TCGA-34-5927-01	TP53_mut
TCGA-39-5011-01	TP53_mut
TCGA-63-A5MR-01	TP53_mut
TCGA-NC-A5HO-01	TP53_mut
TCGA-22-4596-01	TP53_wt
TCGA-43-6647-01	TP53_mut
TCGA-63-A5MM-01	TP53_wt
TCGA-77-7140-01	TP53_mut
TCGA-21-5782-01	TP53_mut
TCGA-43-7657-01	TP53_wt
TCGA-58-8393-01	TP53_mut
TCGA-66-2778-01	TP53_mut
TCGA-66-2786-01	TP53_mut
TCGA-NC-A5HI-01	TP53_mut
TCGA-43-A475-01	TP53_mut
TCGA-60-2710-01	TP53_mut
TCGA-96-8169-01	TP53_mut
TCGA-22-5480-01	TP53_mut
TCGA-56-7731-01	TP53_wt
TCGA-56-8625-01	TP53_mut
TCGA-60-2714-01	TP53_mut
TCGA-77-8140-01	TP53_mut
TCGA-90-7766-01	TP53_mut
TCGA-33-AASI-01	TP53_mut
TCGA-37-4141-01	TP53_mut
TCGA-39-5024-01	TP53_mut
TCGA-66-2757-01	TP53_mut
TCGA-60-2708-01	TP53_mut
TCGA-60-2711-01	TP53_mut
TCGA-18-3411-01	TP53_mut
TCGA-33-4587-01	TP53_mut
TCGA-66-2763-01	TP53_mut
TCGA-85-6175-01	TP53_wt
TCGA-33-4589-01	TP53_wt
TCGA-34-8454-01	TP53_mut
TCGA-43-2576-01	TP53_mut
TCGA-46-3766-01	TP53_wt
TCGA-52-7622-01	TP53_mut
TCGA-66-2734-01	TP53_mut
TCGA-77-7335-01	TP53_mut
TCGA-37-4132-01	TP53_mut
TCGA-90-A59Q-01	TP53_wt
TCGA-21-1070-01	TP53_mut
TCGA-22-4594-01	TP53_mut
TCGA-52-7810-01	TP53_mut
TCGA-60-2720-01	TP53_mut
TCGA-68-7755-01	TP53_wt
TCGA-85-A513-01	TP53_wt
TCGA-33-AAS8-01	TP53_mut
TCGA-43-2578-01	TP53_wt
TCGA-43-6770-01	TP53_mut
TCGA-46-3765-01	TP53_mut
TCGA-77-7142-01	TP53_mut
TCGA-85-7710-01	TP53_mut
TCGA-22-5485-01	TP53_mut
TCGA-56-7823-01	TP53_mut
TCGA-NC-A5HK-01	TP53_mut
TCGA-33-AASL-01	TP53_mut
TCGA-58-8391-01	TP53_mut
TCGA-O2-A52S-01	TP53_wt
TCGA-85-A4CN-01	TP53_mut
TCGA-98-8020-01	TP53_mut
TCGA-43-8118-01	TP53_mut
TCGA-56-8307-01	TP53_mut
TCGA-66-2727-01	TP53_mut
TCGA-21-1076-01	TP53_mut
TCGA-37-4129-01	TP53_wt
TCGA-85-8580-01	TP53_mut
TCGA-43-2581-01	TP53_mut
TCGA-92-7340-01	TP53_mut
TCGA-L3-A524-01	TP53_mut
TCGA-O2-A52Q-01	TP53_wt
TCGA-63-7022-01	TP53_mut
TCGA-63-A5M9-01	TP53_mut
TCGA-33-4579-01	TP53_wt
TCGA-O2-A5IC-01	TP53_wt
