sample	group
TCGA-V1-A9ZR-01	TP53_wt
TCGA-XA-A8JR-01	TP53_wt
TCGA-YL-A8S8-01	TP53_wt
TCGA-YL-A9WX-01	TP53_mut
TCGA-EJ-5506-01	TP53_wt
TCGA-EJ-5525-01	TP53_mut
TCGA-EJ-7791-01	TP53_wt
TCGA-EJ-7794-01	TP53_wt
TCGA-EJ-A65E-01	TP53_wt
TCGA-G9-6329-01	TP53_wt
TCGA-HC-A631-01	TP53_mut
TCGA-HC-A6AN-01	TP53_wt
TCGA-KC-A7F3-01	TP53_wt
TCGA-KK-A7B0-01	TP53_wt
TCGA-V1-A9OQ-01	TP53_wt
TCGA-VP-A875-01	TP53_wt
TCGA-VP-A87C-01	TP53_wt
TCGA-XJ-A83F-01	TP53_wt
TCGA-XQ-A8TB-01	TP53_wt
TCGA-YJ-A8SW-01	TP53_wt
TCGA-YL-A8HO-01	TP53_wt
TCGA-YL-A8SK-01	TP53_wt
TCGA-YL-A9WH-01	TP53_mut
TCGA-ZG-A8QY-01	TP53_wt
TCGA-ZG-A9LU-01	TP53_wt
TCGA-CH-5743-01	TP53_wt
TCGA-CH-5752-01	TP53_wt
TCGA-CH-5763-01	TP53_wt
TCGA-CH-5764-01	TP53_wt
TCGA-CH-5767-01	TP53_wt
TCGA-EJ-5514-01	TP53_mut
TCGA-EJ-5518-01	TP53_wt
TCGA-EJ-7789-01	TP53_wt
TCGA-EJ-A46B-01	TP53_wt
TCGA-EJ-A65D-01	TP53_wt
TCGA-EJ-A8FS-01	TP53_wt
TCGA-G9-6333-01	TP53_wt
TCGA-G9-6385-01	TP53_wt
TCGA-G9-6494-01	TP53_wt
TCGA-G9-6499-01	TP53_mut
TCGA-G9-7510-01	TP53_mut
TCGA-HC-7080-01	TP53_wt
TCGA-HC-7231-01	TP53_wt
TCGA-HC-7232-01	TP53_wt
TCGA-HC-7818-01	TP53_wt
TCGA-HC-8265-01	TP53_wt
TCGA-J4-AATZ-01	TP53_wt
TCGA-J9-A8CK-01	TP53_mut
TCGA-J9-A8CL-01	TP53_wt
TCGA-J9-A8CM-01	TP53_wt
TCGA-J9-A8CP-01	TP53_wt
TCGA-KC-A4BV-01	TP53_wt
TCGA-KK-A59Z-01	TP53_wt
TCGA-QU-A6IP-01	TP53_wt
TCGA-XK-AAJP-01	TP53_wt
TCGA-YL-A8HM-01	TP53_mut
TCGA-YL-A8SC-01	TP53_wt
TCGA-ZG-A9L1-01	TP53_mut
TCGA-ZG-A9LZ-01	TP53_wt
TCGA-CH-5739-01	TP53_wt
TCGA-CH-5754-01	TP53_wt
TCGA-CH-5794-01	TP53_wt
TCGA-EJ-5504-01	TP53_wt
TCGA-EJ-5508-01	TP53_wt
TCGA-EJ-7115-01	TP53_wt
TCGA-EJ-7781-01	TP53_mut
TCGA-EJ-A65M-01	TP53_wt
TCGA-HC-7745-01	TP53_wt
TCGA-J4-A67R-01	TP53_wt
TCGA-J9-A52E-01	TP53_wt
TCGA-KC-A4BL-01	TP53_wt
TCGA-KK-A7B1-01	TP53_wt
TCGA-KK-A8IB-01	TP53_wt
TCGA-KK-A8IL-01	TP53_wt
TCGA-M7-A722-01	TP53_wt
TCGA-V1-A8MF-01	TP53_wt
TCGA-V1-A9OL-01	TP53_wt
TCGA-X4-A8KQ-01	TP53_wt
TCGA-XK-AAJU-01	TP53_wt
TCGA-Y6-A8TL-01	TP53_wt
TCGA-ZG-A8QZ-01	TP53_wt
TCGA-ZG-A9M4-01	TP53_mut
TCGA-4L-AA1F-01	TP53_wt
TCGA-CH-5744-01	TP53_wt
TCGA-CH-5748-01	TP53_wt
TCGA-CH-5790-01	TP53_wt
TCGA-EJ-5519-01	TP53_wt
TCGA-EJ-7331-01	TP53_wt
TCGA-EJ-A6RC-01	TP53_wt
TCGA-EJ-A7NG-01	TP53_wt
TCGA-EJ-A7NM-01	TP53_wt
TCGA-EJ-A8FU-01	TP53_wt
TCGA-G9-6363-01	TP53_wt
TCGA-G9-7525-01	TP53_wt
TCGA-HC-7077-01	TP53_wt
TCGA-HC-A6AL-01	TP53_wt
TCGA-HC-A9TE-01	TP53_mut
TCGA-J4-A83M-01	TP53_wt
TCGA-KK-A59V-01	TP53_wt
TCGA-KK-A7B4-01	TP53_mut
TCGA-KK-A8I4-01	TP53_wt
TCGA-M7-A724-01	TP53_wt
TCGA-QU-A6IL-01	TP53_wt
TCGA-TP-A8TT-01	TP53_wt
TCGA-V1-A8WL-01	TP53_wt
TCGA-V1-A9O5-01	TP53_mut
TCGA-V1-A9ZG-01	TP53_wt
TCGA-YL-A8SO-01	TP53_wt
TCGA-YL-A8SR-01	TP53_wt
TCGA-ZG-A9L6-01	TP53_wt
TCGA-ZG-A9LS-01	TP53_wt
TCGA-CH-5771-01	TP53_wt
TCGA-CH-5772-01	TP53_wt
TCGA-EJ-5509-01	TP53_wt
TCGA-EJ-5521-01	TP53_mut
TCGA-EJ-7325-01	TP53_wt
TCGA-EJ-7784-01	TP53_wt
TCGA-EJ-8468-01	TP53_wt
TCGA-EJ-8472-01	TP53_mut
TCGA-H9-A6BY-01	TP53_wt
TCGA-HC-7075-01	TP53_wt
TCGA-HC-A8CY-01	TP53_wt
TCGA-J4-A67S-01	TP53_wt
TCGA-J4-A67T-01	TP53_wt
TCGA-J4-A83I-01	TP53_wt
TCGA-KC-A7F6-01	TP53_mut
TCGA-KC-A7FA-01	TP53_mut
TCGA-KK-A6E5-01	TP53_wt
TCGA-KK-A7AU-01	TP53_mut
TCGA-V1-A8ML-01	TP53_wt
TCGA-V1-A9OH-01	TP53_wt
TCGA-V1-A9Z9-01	TP53_wt
TCGA-VP-A87B-01	TP53_wt
TCGA-VP-A87K-01	TP53_wt
TCGA-XJ-A9DK-01	TP53_wt
TCGA-XK-AAIV-01	TP53_wt
TCGA-YL-A8S9-01	TP53_wt
TCGA-YL-A9WI-01	TP53_wt
TCGA-YL-A9WK-01	TP53_mut
TCGA-EJ-5531-01	TP53_wt
TCGA-EJ-7314-01	TP53_wt
TCGA-EJ-7786-01	TP53_wt
TCGA-EJ-A65J-01	TP53_wt
TCGA-FC-7961-01	TP53_wt
TCGA-G9-6343-01	TP53_wt
TCGA-G9-A9S4-01	TP53_mut
TCGA-HC-7081-01	TP53_wt
TCGA-HC-7211-01	TP53_wt
TCGA-HC-A76X-01	TP53_wt
TCGA-HI-7168-01	TP53_wt
TCGA-J9-A52B-01	TP53_mut
TCGA-KC-A7FD-01	TP53_wt
TCGA-KC-A7FE-01	TP53_wt
TCGA-KK-A7AQ-01	TP53_wt
TCGA-KK-A7B3-01	TP53_wt
TCGA-M7-A71Z-01	TP53_wt
TCGA-TP-A8TV-01	TP53_wt
TCGA-VN-A88N-01	TP53_wt
TCGA-XJ-A9DI-01	TP53_wt
TCGA-XK-AAJA-01	TP53_wt
TCGA-XK-AAK1-01	TP53_wt
TCGA-YL-A8SB-01	TP53_mut
TCGA-YL-A8SF-01	TP53_wt
TCGA-CH-5761-01	TP53_mut
TCGA-CH-5789-01	TP53_wt
TCGA-EJ-5499-01	TP53_wt
TCGA-EJ-5530-01	TP53_wt
TCGA-EJ-7327-01	TP53_wt
TCGA-EJ-A7NN-01	TP53_wt
TCGA-EJ-AB20-01	TP53_wt
TCGA-G9-6338-01	TP53_wt
TCGA-G9-6342-01	TP53_wt
TCGA-G9-6361-01	TP53_wt
TCGA-G9-6366-01	TP53_wt
TCGA-G9-6377-01	TP53_wt
TCGA-G9-6496-01	TP53_wt
TCGA-HC-7752-01	TP53_wt
TCGA-HC-A6AP-01	TP53_wt
TCGA-HC-A8D0-01	TP53_wt
TCGA-J4-A67N-01	TP53_wt
TCGA-J4-A83L-01	TP53_wt
TCGA-KK-A8I9-01	TP53_wt
TCGA-KK-A8II-01	TP53_wt
TCGA-QU-A6IN-01	TP53_wt
TCGA-V1-A9OA-01	TP53_wt
TCGA-V1-A9OT-01	TP53_wt
TCGA-X4-A8KS-01	TP53_wt
TCGA-XK-AAJR-01	TP53_wt
TCGA-YL-A8SQ-01	TP53_wt
TCGA-ZG-A9L4-01	TP53_wt
TCGA-CH-5762-01	TP53_wt
TCGA-EJ-5515-01	TP53_wt
TCGA-EJ-5542-01	TP53_wt
TCGA-EJ-A46H-01	TP53_wt
TCGA-G9-6356-01	TP53_wt
TCGA-G9-6367-01	TP53_wt
TCGA-H9-A6BX-01	TP53_wt
TCGA-HC-7209-01	TP53_wt
TCGA-HC-7748-01	TP53_wt
TCGA-HC-8264-01	TP53_mut
TCGA-HC-A6AQ-01	TP53_wt
TCGA-KK-A7AY-01	TP53_wt
TCGA-SU-A7E7-01	TP53_wt
TCGA-V1-A8MM-01	TP53_wt
TCGA-V1-A9O7-01	TP53_wt
TCGA-VN-A88P-01	TP53_wt
TCGA-VN-A88Q-01	TP53_wt
TCGA-VP-A872-01	TP53_mut
TCGA-YL-A8SJ-01	TP53_mut
TCGA-ZG-A9L9-01	TP53_wt
TCGA-ZG-A9LY-01	TP53_wt
TCGA-EJ-5496-01	TP53_wt
TCGA-EJ-7123-01	TP53_wt
TCGA-EJ-A65F-01	TP53_wt
TCGA-EJ-A7NJ-01	TP53_wt
TCGA-EJ-A8FP-01	TP53_wt
TCGA-G9-6347-01	TP53_wt
TCGA-HC-7736-01	TP53_wt
TCGA-HC-7740-01	TP53_wt
TCGA-J4-A67O-01	TP53_wt
TCGA-J4-AAU2-01	TP53_wt
TCGA-KK-A6E0-01	TP53_wt
TCGA-KK-A8IJ-01	TP53_wt
TCGA-MG-AAMC-01	TP53_wt
TCGA-QU-A6IM-01	TP53_wt
TCGA-V1-A8WW-01	TP53_wt
TCGA-V1-A9Z8-01	TP53_wt
TCGA-VN-A88I-01	TP53_wt
TCGA-VP-A87E-01	TP53_wt
TCGA-XQ-A8TA-01	TP53_wt
TCGA-YL-A8HK-01	TP53_mut
TCGA-YL-A9WL-01	TP53_wt
TCGA-EJ-7312-01	TP53_wt
TCGA-EJ-8470-01	TP53_wt
TCGA-EJ-A7NK-01	TP53_wt
TCGA-EJ-A8FN-01	TP53_wt
TCGA-G9-6339-01	TP53_wt
TCGA-G9-6353-01	TP53_wt
TCGA-G9-6371-01	TP53_wt
TCGA-G9-7519-01	TP53_wt
TCGA-HC-7738-01	TP53_wt
TCGA-HC-7742-01	TP53_mut
TCGA-HC-8216-01	TP53_mut
TCGA-HC-A9TH-01	TP53_mut
TCGA-HI-7170-01	TP53_wt
TCGA-KK-A7AV-01	TP53_wt
TCGA-KK-A8I6-01	TP53_wt
TCGA-V1-A8MJ-01	TP53_mut
TCGA-VN-A88K-01	TP53_wt
TCGA-VP-A878-01	TP53_wt
TCGA-YL-A8HJ-01	TP53_wt
TCGA-YL-A8HL-01	TP53_mut
TCGA-YL-A8SP-01	TP53_wt
TCGA-ZG-A9L5-01	TP53_wt
TCGA-2A-A8VO-01	TP53_wt
TCGA-2A-AAYF-01	TP53_wt
TCGA-2A-AAYO-01	TP53_wt
TCGA-CH-5740-01	TP53_wt
TCGA-CH-5746-01	TP53_wt
TCGA-CH-5792-01	TP53_wt
TCGA-EJ-5505-01	TP53_wt
TCGA-EJ-5524-01	TP53_wt
TCGA-EJ-5532-01	TP53_wt
TCGA-EJ-7321-01	TP53_wt
TCGA-EJ-A46E-01	TP53_wt
TCGA-EJ-A46F-01	TP53_wt
TCGA-EJ-A46I-01	TP53_wt
TCGA-EJ-A65G-01	TP53_wt
TCGA-G9-6336-01	TP53_wt
TCGA-G9-6362-01	TP53_wt
TCGA-HC-8262-01	TP53_wt
TCGA-J4-A6G3-01	TP53_wt
TCGA-J4-A83N-01	TP53_wt
TCGA-J9-A52C-01	TP53_wt
TCGA-KK-A6E1-01	TP53_wt
TCGA-KK-A7AW-01	TP53_wt
TCGA-KK-A8IF-01	TP53_wt
TCGA-V1-A9OY-01	TP53_wt
TCGA-XJ-A83H-01	TP53_wt
TCGA-YL-A9WY-01	TP53_mut
TCGA-ZG-A9LN-01	TP53_wt
TCGA-2A-AAYU-01	TP53_wt
TCGA-CH-5741-01	TP53_wt
TCGA-EJ-5498-01	TP53_wt
TCGA-EJ-5526-01	TP53_wt
TCGA-EJ-A7NF-01	TP53_wt
TCGA-EJ-A7NH-01	TP53_mut
TCGA-HC-7212-01	TP53_wt
TCGA-HC-8258-01	TP53_wt
TCGA-HC-A4ZV-01	TP53_wt
TCGA-HI-7171-01	TP53_mut
TCGA-KK-A59Y-01	TP53_wt
TCGA-KK-A6E3-01	TP53_wt
TCGA-KK-A7AZ-01	TP53_wt
TCGA-KK-A8IK-01	TP53_wt
TCGA-M7-A725-01	TP53_wt
TCGA-V1-A8MU-01	TP53_wt
TCGA-V1-A8WS-01	TP53_wt
TCGA-V1-A9O9-01	TP53_wt
TCGA-V1-A9OX-01	TP53_wt
TCGA-VP-A87J-01	TP53_wt
TCGA-XK-AAJ3-01	TP53_wt
TCGA-ZG-A8QX-01	TP53_wt
TCGA-CH-5765-01	TP53_wt
TCGA-CH-5766-01	TP53_wt
TCGA-EJ-5501-01	TP53_wt
TCGA-EJ-5511-01	TP53_wt
TCGA-EJ-5517-01	TP53_wt
TCGA-EJ-A65B-01	TP53_wt
TCGA-G9-6332-01	TP53_wt
TCGA-G9-6354-01	TP53_wt
TCGA-G9-6369-01	TP53_wt
TCGA-G9-A9S7-01	TP53_wt
TCGA-HC-7737-01	TP53_wt
TCGA-HC-8266-01	TP53_wt
TCGA-HC-A6HX-01	TP53_wt
TCGA-HI-7169-01	TP53_wt
TCGA-J4-A67M-01	TP53_wt
TCGA-KC-A4BN-01	TP53_wt
TCGA-KC-A4BO-01	TP53_wt
TCGA-KK-A59X-01	TP53_wt
TCGA-KK-A7AP-01	TP53_wt
TCGA-KK-A8I5-01	TP53_wt
TCGA-KK-A8I7-01	TP53_wt
TCGA-KK-A8IG-01	TP53_mut
TCGA-KK-A8IM-01	TP53_wt
TCGA-M7-A71Y-01	TP53_wt
TCGA-VN-A88M-01	TP53_wt
TCGA-ZG-A9ND-01	TP53_wt
TCGA-2A-A8W1-01	TP53_wt
TCGA-EJ-5507-01	TP53_mut
TCGA-EJ-7785-01	TP53_wt
TCGA-G9-6378-01	TP53_wt
TCGA-HC-7821-01	TP53_wt
TCGA-J4-A67L-01	TP53_mut
TCGA-KC-A7F5-01	TP53_wt
TCGA-KK-A6E2-01	TP53_wt
TCGA-KK-A8IC-01	TP53_wt
TCGA-M7-A723-01	TP53_wt
TCGA-V1-A9Z7-01	TP53_mut
TCGA-VN-A88L-01	TP53_wt
TCGA-VP-A87D-01	TP53_mut
TCGA-EJ-7788-01	TP53_wt
TCGA-EJ-7792-01	TP53_wt
TCGA-EJ-7797-01	TP53_wt
TCGA-EJ-A46D-01	TP53_wt
TCGA-FC-A5OB-01	TP53_wt
TCGA-G9-6384-01	TP53_wt
TCGA-G9-6498-01	TP53_wt
TCGA-G9-A9S0-01	TP53_mut
TCGA-HC-7213-01	TP53_mut
TCGA-HC-7819-01	TP53_wt
TCGA-HC-8256-01	TP53_wt
TCGA-J4-A6M7-01	TP53_wt
TCGA-J9-A8CN-01	TP53_wt
TCGA-M7-A720-01	TP53_wt
TCGA-QU-A6IO-01	TP53_wt
TCGA-V1-A8MG-01	TP53_wt
TCGA-VN-A88R-01	TP53_wt
TCGA-2A-A8VV-01	TP53_wt
TCGA-FC-7708-01	TP53_wt
TCGA-G9-6370-01	TP53_wt
TCGA-G9-7521-01	TP53_mut
TCGA-HC-7747-01	TP53_wt
TCGA-HC-7817-01	TP53_wt
TCGA-HC-A6AO-01	TP53_wt
TCGA-J4-A83K-01	TP53_wt
TCGA-V1-A8WV-01	TP53_wt
TCGA-2A-A8VL-01	TP53_wt
TCGA-EJ-5522-01	TP53_wt
TCGA-EJ-7318-01	TP53_wt
TCGA-EJ-A8FO-01	TP53_wt
TCGA-EJ-AB27-01	TP53_wt
TCGA-G9-6351-01	TP53_wt
TCGA-HC-7079-01	TP53_wt
TCGA-HC-A6HY-01	TP53_wt
TCGA-V1-A8X3-01	TP53_wt
TCGA-XJ-A83G-01	TP53_wt
TCGA-XJ-A9DX-01	TP53_wt
TCGA-EJ-5494-01	TP53_wt
TCGA-EJ-5502-01	TP53_wt
TCGA-EJ-5503-01	TP53_wt
TCGA-HC-7230-01	TP53_mut
TCGA-HC-7750-01	TP53_wt
TCGA-HC-8259-01	TP53_wt
TCGA-KK-A6DY-01	TP53_mut
TCGA-KK-A8IH-01	TP53_wt
TCGA-EJ-5516-01	TP53_wt
TCGA-EJ-7793-01	TP53_wt
TCGA-G9-7522-01	TP53_wt
TCGA-J4-8198-01	TP53_wt
TCGA-V1-A9OF-01	TP53_wt
TCGA-VN-A88O-01	TP53_wt
TCGA-CH-5769-01	TP53_wt
TCGA-EJ-5510-01	TP53_wt
TCGA-G9-7509-01	TP53_wt
TCGA-HC-8213-01	TP53_wt
TCGA-HC-8261-01	TP53_wt
TCGA-XJ-A9DQ-01	TP53_wt
TCGA-2A-A8VT-01	TP53_mut
TCGA-EJ-5497-01	TP53_wt
TCGA-HC-A48F-01	TP53_mut
TCGA-J4-8200-01	TP53_wt
TCGA-V1-A8WN-01	TP53_wt
TCGA-YL-A9WJ-01	TP53_wt
TCGA-EJ-5512-01	TP53_wt
TCGA-EJ-8469-01	TP53_wt
TCGA-HC-7744-01	TP53_wt
TCGA-KK-A6E7-01	TP53_wt
TCGA-VP-A876-01	TP53_mut
TCGA-EJ-7125-01	TP53_wt
TCGA-G9-7523-01	TP53_wt
TCGA-HC-8260-01	TP53_wt
TCGA-V1-A8MK-01	TP53_wt
