pathway	NES	ES	padj	pval	leadingEdge
HALLMARK_HEME_METABOLISM	-1.0736585675101	-0.232871821995295	0.800100012501563	0.304038004750594	440,8780,682,5091,2309,8974,3792,3049,6513,2532,2057,7716,4354,3005,3321,7001,571,118,6917,2993,4059,9541,669,3920,6622,8991,7150,7145,10661,9958,10181
HALLMARK_HYPOXIA	-1.21842976951219	-0.256956355907274	0.714840714840715	0.0861244019138756	1907,2309,8974,680,6478,7422,1027,5066,2203,3725,6513,4015,2548,5236,5329,3036,3569,6095,5292,9957,9215,2023,5260,2353,1356,7128,7167,5209,5155,3486,3073,6533,5507,1028
HALLMARK_IL2_STAT5_SIGNALING	-1.13827535659759	-0.243937111496298	0.747693286668788	0.183374083129584	10970,399,2983,898,6271,8651,333,5269,4907,6095,5292,10075,5167,4616,4839,2879,10888,3459,3685,196,8809,962,7074,5359,3655,1028,10538,3662,5732
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.979971912967099	-0.23313828824539	0.916704391127207	0.50561797752809	94,3725,8651,3569,5292,3601,2921,3459,928,8809,3460,5320,91,578,3454,3566,3162,5771,7097,1230,6774,1438
HALLMARK_INFLAMMATORY_RESPONSE	-0.933709214118645	-0.193724718980831	0.916704391127207	0.636144578313253	5817,4224,8767,6869,3593,11047,1906,5329,1317,3569,3678,187,5027,6717,3601,7098,1236,1902,196,1880,970,8809,962,6376,488,4986,8519,3624,1536,3606,4792,5732,3460,91,4210,3454,3566,5996,8877,728,3576,7097,490,5734,558,623,2015,10203
HALLMARK_INTERFERON_ALPHA_RESPONSE	1.27828184428733	0.323160934364609	0.714840714840715	0.0886792452830189	3429,3431,3660,3659,7318,3669,6890,11274,9111,3959,834,684,3430,9636,10379,3665,567,9034,6737,10410,5721,6402,9246
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.15570713092866	0.253384232294829	0.714840714840715	0.157264957264957	3429,5142,3431,3717,3660,3659,4502,3669,6890,11274,6775,9111,3959,3937,834,5690,10135,684,3430,5699,7130,4860,1026,9636,355,3663,10875,10379,5743,7903,3106,2841,6403,3665
HALLMARK_KRAS_SIGNALING_DN	-0.880827179417926	-0.189090154643099	0.916704391127207	0.778325123152709	8303,5795,1907,3593,1950,1906,10777,5625,10913,11202,3750,1237,7367,7038,10753,5324,7252,7771,152,6531,4210,5071,4908,1158,658,5077,2261,2827,1952,727,3780,2488,2593,1838,6261,6474
HALLMARK_KRAS_SIGNALING_UP	0.894158832987525	0.195971260361347	0.916704391127207	0.724832214765101	2791,2591,3290,10205,6480,101,9358,6616,208,760,7035,8808,6868,6324,3800,2517,3689,5593,1520,3575,7166,2115,2995,5743,6304,4674,5121,7813,7852,10221,6447,3728,2254,3673,10418,2150,8431,7139,6004
HALLMARK_MITOTIC_SPINDLE	1.19994318012257	0.266806409254336	0.714840714840715	0.120274914089347	613,9411,9055,6709,3799,5347,4296,996,6780,3831,6711,274,1778,11190,4926,7277,2017,7840,4853,1894,4763,2934,9732,5829,9133,9564,6453,4983
