claim_id	human_label	rater_id	label_version	condition	entity	direction	term_name	gene_symbols_str	module_id_effective	_src
c_276bff6c74a2	SHOULD_ABSTAIN	R1	v1	BEATAML	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	up	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	TIMP3;COL5A1;THY1;LOXL1;CTHRC1;PLOD2;INHBA;LAMC1;COL16A1;BGN	Mba84b3e143b8	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_a09822cead85	SHOULD_ABSTAIN	R1	v1	BEATAML	HALLMARK_XENOBIOTIC_METABOLISM	up	HALLMARK_XENOBIOTIC_METABOLISM	CYP2J2;PC;PROS1;PYCR1;CYP2S1;ARG2;SLC1A5;SPINT2;TGFB2;GAD1	M8613e37e866b	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_67a31e133375	ACCEPT	R1	v1	BEATAML	HALLMARK_MYC_TARGETS_V2	up	HALLMARK_MYC_TARGETS_V2	PLK1;SLC29A2;PLK4;MCM5;MCM4;SLC19A1;PRMT3;SRM;PPRC1;MYC	Mc2675af46792	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_2ddb1c805b31	ACCEPT	R1	v1	BEATAML	HALLMARK_P53_PATHWAY	down	HALLMARK_P53_PATHWAY	RACK1;PHLDA3;HDAC3;BAX;XPC;HINT1;RPS27L;DDB2;CCNG1;ZMAT3	M75d8d1af5bcb	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_795815b409e8	ACCEPT	R1	v1	BEATAML	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	up	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	PRDX2;GCLM;SOD1;PRDX4;LSP1;PRDX1;IPCEF1;SBNO2;CDKN2D;SCAF4	M066e297c8710	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_e71b46ad58e7	ACCEPT	R1	v1	BEATAML	HALLMARK_OXIDATIVE_PHOSPHORYLATION	down	HALLMARK_OXIDATIVE_PHOSPHORYLATION	COX7C;UQCRQ;BAX;ATP5PO;UQCRC2;NDUFA2;SURF1;NDUFS4;ACADVL;VDAC1	M109e585f24ff	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_5ad9b02b81c9	ACCEPT	R1	v1	BEATAML	HALLMARK_NOTCH_SIGNALING	up	HALLMARK_NOTCH_SIGNALING	FZD5;DLL1;CCND1;TCF7L2;DTX4;DTX1;RBX1;MAML2;FZD7;HES1	M76d2b450cd9b	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_100a570f5fc6	ACCEPT	R1	v1	BEATAML	HALLMARK_CHOLESTEROL_HOMEOSTASIS	up	HALLMARK_CHOLESTEROL_HOMEOSTASIS	SCD;DHCR7;CBS;SQLE;LGMN;GLDC;IDI1;GNAI1;LDLR;TRIB3	M1f4f65ddbd4a	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_364d36e8d358	ACCEPT	R1	v1	BEATAML	HALLMARK_INFLAMMATORY_RESPONSE	up	HALLMARK_INFLAMMATORY_RESPONSE	VIP;INHBA;IFITM1;SLC7A1;HPN;LAMP3;KIF1B;IL18R1;CD82;IRAK2	M5ad8c232ffd3	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_395e60655c4a	SHOULD_ABSTAIN	R1	v1	BEATAML	HALLMARK_COAGULATION	up	HALLMARK_COAGULATION	TIMP3;PLAT;CFI;PROS1;HPN;LGMN;MMP8;RAPGEF3;OLR1;ITGB3	M88fc41364801	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_af19760478e6	SHOULD_ABSTAIN	R1	v1	BEATAML	HALLMARK_PEROXISOME	up	HALLMARK_PEROXISOME	ALDH1A1;YWHAH;SEMA3C;ESR2;SOD1;ABCB1;ABCB9;TOP2A;ABCD3;IDI1	M102c62cc5b82	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_cf13126e115b	REJECT	R1	v1	BEATAML	HALLMARK_PANCREAS_BETA_CELLS	up	HALLMARK_PANCREAS_BETA_CELLS	FOXO1;AKT3;PKLR	M04098975cc06	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_ce666bdd9f29	SHOULD_ABSTAIN	R1	v1	BEATAML	HALLMARK_ADIPOGENESIS	up	HALLMARK_ADIPOGENESIS	CAVIN1;DHCR7;LIPE;SOD1;SLC1A5;CAVIN2;ELOVL6;COL15A1;RETN;MYLK	Mdf6607068867	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_1145ca21bf67	ACCEPT	R1	v1	BEATAML	HALLMARK_ANGIOGENESIS	up	HALLMARK_ANGIOGENESIS	PTK2;APP;PGLYRP1;VEGFA;JAG2;OLR1;SPP1;FGFR1;PRG2;CXCL6	M734186d89bdb	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_9e397d0e0e93	ACCEPT	R1	v1	BEATAML	HALLMARK_E2F_TARGETS	up	HALLMARK_E2F_TARGETS	USP1;CDCA8;KIF2C;H2AX;POLE;SMC3;MKI67;RAD21;CDKN3;CDC25A	M10c94544e295	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_207e0a204396	ACCEPT	R1	v1	BEATAML	HALLMARK_TGF_BETA_SIGNALING	up	HALLMARK_TGF_BETA_SIGNALING	LTBP2;BMP2;BMPR2;SPTBN1;WWTR1;HDAC1;TJP1;CDH1;FKBP1A;ENG	M001d3b4257ae	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.90/audit_log.tsv
c_964317476f4f	ACCEPT	R1	v1	BEATAML	HALLMARK_ESTROGEN_RESPONSE_EARLY	up	HALLMARK_ESTROGEN_RESPONSE_EARLY	FARP1;NBL1;DHCR7;MREG;FHL2;TSKU;SLC16A1;UGCG;OLFM1;HR	M9c70cf032c39	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.90/audit_log.tsv
c_cbb2cda65112	ACCEPT	R1	v1	BEATAML	HALLMARK_HEME_METABOLISM	up	HALLMARK_HEME_METABOLISM	HDGF;E2F2;TAL1;OPTN;PC;TSPAN5;H1-0;ABCG2;ABCB6;GYPC	Mb6caa934d86e	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.90/audit_log.tsv
c_cae0e751e647	ACCEPT	R1	v1	BEATAML	HALLMARK_MTORC1_SIGNALING	up	HALLMARK_MTORC1_SIGNALING	SCD;DHCR7;PLOD2;CDC25A;CCNF;PSAT1;PSMG1;PLK1;PHGDH;SQLE	M1f4f65ddbd4a	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/ours/gate_hard/tau_0.20/audit_log.tsv
c_732459afdaa3	ACCEPT	R1	v1	BEATAML	HALLMARK_BILE_ACID_METABOLISM	up	HALLMARK_BILE_ACID_METABOLISM	ALDH1A1;OPTN;LIPE;CYP46A1;PFKM;GCLM;SOD1;ABCD3;IDI1;BMP6	M102c62cc5b82	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/ours/gate_hard/tau_0.20/audit_log.tsv
c_71ea86f16dad	SHOULD_ABSTAIN	R1	v1	BEATAML	HALLMARK_APICAL_JUNCTION	up	HALLMARK_APICAL_JUNCTION	THY1;PTK2;NFASC;JAM3;COL16A1;COL17A1;LAYN;YWHAH;MYH10;NRXN2	Mde72f4c687b5	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/ours/gate_hard/tau_0.20/audit_log.tsv
c_450cdc5cd834	ACCEPT	R1	v1	BEATAML	HALLMARK_TNFA_SIGNALING_VIA_NFKB	up	HALLMARK_TNFA_SIGNALING_VIA_NFKB	FJX1;INHBA;EFNA1;BMP2;CXCL1;F2RL1;PTGS2;CSF1;SPSB1;SOCS3	M5ad8c232ffd3	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/ours/gate_hard/tau_0.20/audit_log.tsv
c_0625b0d0790b	ACCEPT	R1	v1	BEATAML	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	up	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	H2AX;PSAT1;CHAC1;KHSRP;STC2;FKBP14;DKC1;CKS1B;TARS1;IFIT1	Me7f4ca4a1479	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/ours/gate_hard/tau_0.20/audit_log.tsv
c_7b052c54c7da	ACCEPT	R1	v1	BEATAML	HALLMARK_ANDROGEN_RESPONSE	up	HALLMARK_ANDROGEN_RESPONSE	SCD;HPGD;H1-0;STEAP4;INPP4B;IDI1;TPD52;HSD17B14;ANKH;HOMER2	Mcf6b775ed5f3	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/ours/gate_hard/tau_0.20/audit_log.tsv
c_9b69058e35af	ACCEPT	R1	v1	BEATAML	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	HALLMARK_INTERFERON_ALPHA_RESPONSE	IFITM1;NCOA7;USP18;IL7;IFITM3;LAMP3;EPSTI1;CSF1;IFI44L;MX1	M5ad8c232ffd3	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/ours/gate_hard/tau_0.20/audit_log.tsv
c_640cd3fdde66	ACCEPT	R1	v1	BEATAML	HALLMARK_ALLOGRAFT_REJECTION	up	HALLMARK_ALLOGRAFT_REJECTION	THY1;INHBA;DYRK3;IL7;CSF1;TPD52;KRT1;TGFB2;ACVR2A;CCL2	M5ad8c232ffd3	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/ours/gate_hard/tau_0.20/audit_log.tsv
c_2a6dc80cfaf8	ACCEPT	R1	v1	BEATAML	HALLMARK_IL2_STAT5_SIGNALING	up	HALLMARK_IL2_STAT5_SIGNALING	SHE;BMP2;SLC29A2;LCLAT1;TIAM1;IFITM3;BMPR2;ABCB1;IL18R1;SLC1A5	M030d0bf0c176	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/ours/gate_hard/tau_0.90/audit_log.tsv
c_8a5f20f892f0	ACCEPT	R1	v1	BEATAML	HALLMARK_HEDGEHOG_SIGNALING	up	HALLMARK_HEDGEHOG_SIGNALING	THY1;NRP2;HEY1;RTN1;VEGFA;PTCH1;AMOT;NRP1;ACHE;ETS2	Mae5680496322	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/stress/gate_hard/tau_0.20/audit_log.tsv
c_fe0ca2ae33d0	SHOULD_ABSTAIN	R1	v1	BEATAML	HALLMARK_KRAS_SIGNALING_UP	up	HALLMARK_KRAS_SIGNALING_UP	PEG3;PLAT;INHBA;MALL;BMP2;GNG11;TSPAN13;GYPC;ETV1;PRKG2	M473fb04e1bf4	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/stress/gate_hard/tau_0.20/audit_log.tsv
c_36d7fb1fbdc1	ACCEPT	R1	v1	BEATAML	HALLMARK_HYPOXIA	up	HALLMARK_HYPOXIA	COL5A1;CAVIN1;KIF5A;BGN;EFNA1;CA12;TPST2;TPD52;AMPD3;STC2	M2fbb6d7ec279	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/stress/gate_hard/tau_0.20/audit_log.tsv
c_400a1c2b0cda	ACCEPT	R1	v1	BEATAML	HALLMARK_MITOTIC_SPINDLE	up	HALLMARK_MITOTIC_SPINDLE	CDC42BPA;FARP1;KIF2C;SMC3;TTK;FBXO5;KIF23;PLK1;CENPE;NEK2	M10c94544e295	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/stress/gate_hard/tau_0.20/audit_log.tsv
c_c4ef246736df	ACCEPT	R1	v1	BEATAML	HALLMARK_FATTY_ACID_METABOLISM	down	HALLMARK_FATTY_ACID_METABOLISM	ACADVL;HSD17B11;ACAA1;GSTZ1;MLYCD;D2HGDH;HSD17B4;GRHPR;AUH;OSTC	M63598010daa2	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/stress/gate_hard/tau_0.20/audit_log.tsv
c_ab6344981456	ACCEPT	R1	v1	BEATAML	HALLMARK_MYC_TARGETS_V1	up	HALLMARK_MYC_TARGETS_V1	USP1;HDGF;CCNA2;SRPK1;UBE2L3;RAD23B;CDC20;UBA2;TFDP1;RANBP1	M9e9aef27dc3d	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/stress/gate_hard/tau_0.20/audit_log.tsv
c_b846c77d56ce	ACCEPT	R1	v1	BEATAML	HALLMARK_UV_RESPONSE_DN	up	HALLMARK_UV_RESPONSE_DN	CDC42BPA;PTPRM;MAP1B;LAMC1;FHL2;NFIB;RBPMS;SLC7A1;PLCB4;INPP4B	Mf7204a461589	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/stress/gate_hard/tau_0.20/audit_log.tsv
