benchmark_id	condition	method	variant	gate_mode	tau	coverage_pass	abstain_rate_total	fail_rate_total	fail_rate_answered	n_total	n_pass	n_abstain	n_fail	n_answered	risk_human_reject	risk_human_nonaccept	n_pass_labeled	risk_proxy	_src
	LUAD	ours	context_swap	hard	0.4	0.38	0.62	0	0	50	19	31	0	19			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/context_swap/gate_hard/tau_0.40/audit_log.tsv
	LUAD	ours	context_swap	hard	0.6	0.38	0.62	0	0	50	19	31	0	19			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/context_swap/gate_hard/tau_0.60/audit_log.tsv
	LUAD	ours	context_swap	hard	0.8	0.38	0.62	0	0	50	19	31	0	19			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/context_swap/gate_hard/tau_0.80/audit_log.tsv
	LUAD	ours	context_swap	hard	0.9	0.32	0.68	0	0	50	16	34	0	16			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/context_swap/gate_hard/tau_0.90/audit_log.tsv
	LUAD	ours	ours	hard	0.2	0.74	0.26	0	0	50	37	13	0	37			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/ours/gate_hard/tau_0.20/audit_log.tsv
	LUAD	ours	ours	hard	0.4	0.74	0.26	0	0	50	37	13	0	37			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/ours/gate_hard/tau_0.40/audit_log.tsv
	LUAD	ours	ours	hard	0.6	0.74	0.26	0	0	50	37	13	0	37			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/ours/gate_hard/tau_0.60/audit_log.tsv
	LUAD	ours	ours	hard	0.8	0.74	0.26	0	0	50	37	13	0	37			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/ours/gate_hard/tau_0.80/audit_log.tsv
	LUAD	ours	ours	hard	0.9	0.66	0.34	0	0	50	33	17	0	33			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/ours/gate_hard/tau_0.90/audit_log.tsv
	LUAD	ours	stress	hard	0.2	0.3	0.7	0	0	50	15	35	0	15			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/stress/gate_hard/tau_0.20/audit_log.tsv
	LUAD	ours	stress	hard	0.4	0.3	0.7	0	0	50	15	35	0	15			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/stress/gate_hard/tau_0.40/audit_log.tsv
	LUAD	ours	stress	hard	0.6	0.3	0.7	0	0	50	15	35	0	15			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/stress/gate_hard/tau_0.60/audit_log.tsv
	LUAD	ours	stress	hard	0.8	0.3	0.7	0	0	50	15	35	0	15			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/stress/gate_hard/tau_0.80/audit_log.tsv
	LUAD	ours	stress	hard	0.9	0.24	0.76	0	0	50	12	38	0	12			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/stress/gate_hard/tau_0.90/audit_log.tsv
	LUSC	ours	context_swap	hard	0.2	0.2	0.8	0	0	50	10	40	0	10			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/context_swap/gate_hard/tau_0.20/audit_log.tsv
	LUSC	ours	context_swap	hard	0.4	0.2	0.8	0	0	50	10	40	0	10			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/context_swap/gate_hard/tau_0.40/audit_log.tsv
	LUSC	ours	context_swap	hard	0.6	0.2	0.8	0	0	50	10	40	0	10			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/context_swap/gate_hard/tau_0.60/audit_log.tsv
	LUSC	ours	context_swap	hard	0.8	0.2	0.8	0	0	50	10	40	0	10			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/context_swap/gate_hard/tau_0.80/audit_log.tsv
	LUSC	ours	context_swap	hard	0.9	0.18	0.82	0	0	50	9	41	0	9			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/context_swap/gate_hard/tau_0.90/audit_log.tsv
	LUSC	ours	ours	hard	0.2	0.78	0.22	0	0	50	39	11	0	39			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/ours/gate_hard/tau_0.20/audit_log.tsv
	LUSC	ours	ours	hard	0.4	0.78	0.22	0	0	50	39	11	0	39			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/ours/gate_hard/tau_0.40/audit_log.tsv
	LUSC	ours	ours	hard	0.6	0.78	0.22	0	0	50	39	11	0	39			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/ours/gate_hard/tau_0.60/audit_log.tsv
	LUSC	ours	ours	hard	0.8	0.78	0.22	0	0	50	39	11	0	39			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/ours/gate_hard/tau_0.80/audit_log.tsv
	LUSC	ours	ours	hard	0.9	0.7	0.3	0	0	50	35	15	0	35			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/ours/gate_hard/tau_0.90/audit_log.tsv
	LUSC	ours	stress	hard	0.2	0.28	0.72	0	0	50	14	36	0	14			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/stress/gate_hard/tau_0.20/audit_log.tsv
	LUSC	ours	stress	hard	0.4	0.28	0.72	0	0	50	14	36	0	14			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/stress/gate_hard/tau_0.40/audit_log.tsv
	LUSC	ours	stress	hard	0.6	0.28	0.72	0	0	50	14	36	0	14			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/stress/gate_hard/tau_0.60/audit_log.tsv
	LUSC	ours	stress	hard	0.8	0.28	0.72	0	0	50	14	36	0	14			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/stress/gate_hard/tau_0.80/audit_log.tsv
	LUSC	ours	stress	hard	0.9	0.24	0.76	0	0	50	12	38	0	12			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUSC/stress/gate_hard/tau_0.90/audit_log.tsv
	OV	ours	context_swap	hard	0.2	0.32	0.68	0	0	50	16	34	0	16			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/context_swap/gate_hard/tau_0.20/audit_log.tsv
	OV	ours	context_swap	hard	0.4	0.32	0.68	0	0	50	16	34	0	16			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/context_swap/gate_hard/tau_0.40/audit_log.tsv
	OV	ours	context_swap	hard	0.6	0.32	0.68	0	0	50	16	34	0	16			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/context_swap/gate_hard/tau_0.60/audit_log.tsv
	OV	ours	context_swap	hard	0.8	0.32	0.68	0	0	50	16	34	0	16			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/context_swap/gate_hard/tau_0.80/audit_log.tsv
	OV	ours	context_swap	hard	0.9	0.32	0.68	0	0	50	16	34	0	16			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/context_swap/gate_hard/tau_0.90/audit_log.tsv
	OV	ours	ours	hard	0.2	0.72	0.28	0	0	50	36	14	0	36			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/ours/gate_hard/tau_0.20/audit_log.tsv
	OV	ours	ours	hard	0.4	0.72	0.28	0	0	50	36	14	0	36			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/ours/gate_hard/tau_0.40/audit_log.tsv
	OV	ours	ours	hard	0.6	0.72	0.28	0	0	50	36	14	0	36			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/ours/gate_hard/tau_0.60/audit_log.tsv
	OV	ours	ours	hard	0.8	0.72	0.28	0	0	50	36	14	0	36			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/ours/gate_hard/tau_0.80/audit_log.tsv
	OV	ours	ours	hard	0.9	0.62	0.38	0	0	50	31	19	0	31			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/ours/gate_hard/tau_0.90/audit_log.tsv
	OV	ours	stress	hard	0.2	0.3	0.7	0	0	50	15	35	0	15			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/stress/gate_hard/tau_0.20/audit_log.tsv
	OV	ours	stress	hard	0.4	0.3	0.7	0	0	50	15	35	0	15			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/stress/gate_hard/tau_0.40/audit_log.tsv
	OV	ours	stress	hard	0.6	0.3	0.7	0	0	50	15	35	0	15			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/stress/gate_hard/tau_0.60/audit_log.tsv
	OV	ours	stress	hard	0.8	0.3	0.7	0	0	50	15	35	0	15			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/stress/gate_hard/tau_0.80/audit_log.tsv
	OV	ours	stress	hard	0.9	0.24	0.76	0	0	50	12	38	0	12			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/OV/stress/gate_hard/tau_0.90/audit_log.tsv
	SKCM	ours	context_swap	hard	0.2	0.42	0.58	0	0	50	21	29	0	21			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/context_swap/gate_hard/tau_0.20/audit_log.tsv
	SKCM	ours	context_swap	hard	0.4	0.42	0.58	0	0	50	21	29	0	21			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/context_swap/gate_hard/tau_0.40/audit_log.tsv
	SKCM	ours	context_swap	hard	0.6	0.42	0.58	0	0	50	21	29	0	21			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/context_swap/gate_hard/tau_0.60/audit_log.tsv
	SKCM	ours	context_swap	hard	0.8	0.42	0.58	0	0	50	21	29	0	21			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/context_swap/gate_hard/tau_0.80/audit_log.tsv
	SKCM	ours	context_swap	hard	0.9	0.36	0.64	0	0	50	18	32	0	18			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/context_swap/gate_hard/tau_0.90/audit_log.tsv
	SKCM	ours	ours	hard	0.2	0.66	0.34	0	0	50	33	17	0	33			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/ours/gate_hard/tau_0.20/audit_log.tsv
	SKCM	ours	ours	hard	0.4	0.66	0.34	0	0	50	33	17	0	33			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/ours/gate_hard/tau_0.40/audit_log.tsv
	SKCM	ours	ours	hard	0.6	0.66	0.34	0	0	50	33	17	0	33			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/ours/gate_hard/tau_0.60/audit_log.tsv
	SKCM	ours	ours	hard	0.8	0.66	0.34	0	0	50	33	17	0	33			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/ours/gate_hard/tau_0.80/audit_log.tsv
	SKCM	ours	ours	hard	0.9	0.62	0.38	0	0	50	31	19	0	31			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/ours/gate_hard/tau_0.90/audit_log.tsv
	SKCM	ours	stress	hard	0.2	0.24	0.76	0	0	50	12	38	0	12			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/stress/gate_hard/tau_0.20/audit_log.tsv
	SKCM	ours	stress	hard	0.4	0.24	0.76	0	0	50	12	38	0	12			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/stress/gate_hard/tau_0.40/audit_log.tsv
	SKCM	ours	stress	hard	0.6	0.24	0.76	0	0	50	12	38	0	12			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/stress/gate_hard/tau_0.60/audit_log.tsv
	SKCM	ours	stress	hard	0.8	0.24	0.76	0	0	50	12	38	0	12			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/stress/gate_hard/tau_0.80/audit_log.tsv
	SKCM	ours	stress	hard	0.9	0.2	0.8	0	0	50	10	40	0	10			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/SKCM/stress/gate_hard/tau_0.90/audit_log.tsv
	UCEC	ours	context_swap	hard	0.2	0.28	0.72	0	0	50	14	36	0	14			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/context_swap/gate_hard/tau_0.20/audit_log.tsv
	UCEC	ours	context_swap	hard	0.4	0.28	0.72	0	0	50	14	36	0	14			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/context_swap/gate_hard/tau_0.40/audit_log.tsv
	UCEC	ours	context_swap	hard	0.6	0.28	0.72	0	0	50	14	36	0	14			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/context_swap/gate_hard/tau_0.60/audit_log.tsv
	UCEC	ours	context_swap	hard	0.8	0.28	0.72	0	0	50	14	36	0	14			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/context_swap/gate_hard/tau_0.80/audit_log.tsv
	UCEC	ours	context_swap	hard	0.9	0.26	0.74	0	0	50	13	37	0	13			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/context_swap/gate_hard/tau_0.90/audit_log.tsv
	UCEC	ours	ours	hard	0.2	0.78	0.22	0	0	50	39	11	0	39			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/ours/gate_hard/tau_0.20/audit_log.tsv
	UCEC	ours	ours	hard	0.4	0.78	0.22	0	0	50	39	11	0	39			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/ours/gate_hard/tau_0.40/audit_log.tsv
	UCEC	ours	ours	hard	0.6	0.78	0.22	0	0	50	39	11	0	39			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/ours/gate_hard/tau_0.60/audit_log.tsv
	UCEC	ours	ours	hard	0.8	0.78	0.22	0	0	50	39	11	0	39			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/ours/gate_hard/tau_0.80/audit_log.tsv
	UCEC	ours	ours	hard	0.9	0.7	0.3	0	0	50	35	15	0	35			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/ours/gate_hard/tau_0.90/audit_log.tsv
	UCEC	ours	stress	hard	0.2	0.2	0.8	0	0	50	10	40	0	10			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/stress/gate_hard/tau_0.20/audit_log.tsv
	UCEC	ours	stress	hard	0.4	0.2	0.8	0	0	50	10	40	0	10			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/stress/gate_hard/tau_0.40/audit_log.tsv
	UCEC	ours	stress	hard	0.6	0.2	0.8	0	0	50	10	40	0	10			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/stress/gate_hard/tau_0.60/audit_log.tsv
	UCEC	ours	stress	hard	0.8	0.2	0.8	0	0	50	10	40	0	10			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/stress/gate_hard/tau_0.80/audit_log.tsv
	UCEC	ours	stress	hard	0.9	0.2	0.8	0	0	50	10	40	0	10			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/UCEC/stress/gate_hard/tau_0.90/audit_log.tsv
