claim_id	human_label	rater_id	label_version	cancer	variant	gate_mode	tau	entity	direction	term_name	module_id_effective	gene_symbols_str	term_ids_str	term_survival_agg	context_score	status	abstain_reason	fail_reason	audit_notes	claim_json	_src
c_5aaac2162816	ACCEPT	R1	v1	BRCA	ours	hard	0.2	HALLMARK_P53_PATHWAY	down	HALLMARK_P53_PATHWAY	Mf2c62e11d92c	SLC3A2;FOXO3;TCHH;RAP2B;JUN;RAD9A;SOCS1;XPC;RB1;INHBB	'fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	0.984375		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_5aaac2162816"",""entity"":""HALLMARK_P53_PATHWAY"",""direction"":""down"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""Mf2c62e11d92c"",""gene_ids"":[""6520"",""2309"",""7062"",""5912"",""3725"",""5883"",""8651"",""7508"",""5925"",""3625""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY""],""gene_set_hash"":""5f34f2353cad""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_1ba005f35d93	SHOULD_ABSTAIN	R1	v1	BRCA	ours	hard	0.2	HALLMARK_INFLAMMATORY_RESPONSE	down	HALLMARK_INFLAMMATORY_RESPONSE	Me48e511fc160	PVR;MEP1A;RIPK2;TACR1;IL12B;ADRM1;EDN1;PLAUR;SLC31A1;IL6	'fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE	0.875		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_1ba005f35d93"",""entity"":""HALLMARK_INFLAMMATORY_RESPONSE"",""direction"":""down"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""Me48e511fc160"",""gene_ids"":[""5817"",""4224"",""8767"",""6869"",""3593"",""11047"",""1906"",""5329"",""1317"",""3569""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE""],""gene_set_hash"":""8de249354595""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_66888744a43d	REJECT	R1	v1	BRCA	ours	hard	0.2	HALLMARK_APICAL_JUNCTION	down	HALLMARK_APICAL_JUNCTION	Mf54eba6b27c8	ACTA1;RRAS;MAP4K2;CLDN5;SRC;HADH;MAPK14;FBN1;IKBKG;NRAP	'fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION	0.984375		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_66888744a43d"",""entity"":""HALLMARK_APICAL_JUNCTION"",""direction"":""down"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""Mf54eba6b27c8"",""gene_ids"":[""58"",""6237"",""5871"",""7122"",""6714"",""3033"",""1432"",""2200"",""8517"",""4892""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION""],""gene_set_hash"":""3de6aa526df4""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_5b326c30acdd	REJECT	R1	v1	BRCA	ours	hard	0.2	HALLMARK_HEME_METABOLISM	down	HALLMARK_HEME_METABOLISM	M3f89a2ed7824	ASNS;RIOK3;BSG;PC;FOXO3;P4HA2;KEL;HBQ1;SLC2A1;ACKR1	'fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	0.984375		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_5b326c30acdd"",""entity"":""HALLMARK_HEME_METABOLISM"",""direction"":""down"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M3f89a2ed7824"",""gene_ids"":[""440"",""8780"",""682"",""5091"",""2309"",""8974"",""3792"",""3049"",""6513"",""2532""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM""],""gene_set_hash"":""8e1ed606db8f""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_8539d7eea531	SHOULD_ABSTAIN	R1	v1	BRCA	ours	hard	0.2	HALLMARK_ANDROGEN_RESPONSE	down	HALLMARK_ANDROGEN_RESPONSE	Ma03666ed863f	LMAN1;ELK4;SEC24D;LIFR;XRCC5;ADRM1;PTPN21;HMGCS1;H1-0;PIAS1	'fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	0.984375		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_8539d7eea531"",""entity"":""HALLMARK_ANDROGEN_RESPONSE"",""direction"":""down"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""Ma03666ed863f"",""gene_ids"":[""3998"",""2005"",""9871"",""3977"",""7520"",""11047"",""11099"",""3157"",""3005"",""8554""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE""],""gene_set_hash"":""cd2828d5f30a""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_7d6e687e80ed	SHOULD_ABSTAIN	R1	v1	BRCA	ours	hard	0.2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	down	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	M11095980b892	PVR;ELN;VEGFA;JUN;LOX;APLP1;PLAUR;NT5E;IL6;ITGA5	'fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.984375		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_7d6e687e80ed"",""entity"":""HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"",""direction"":""down"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M11095980b892"",""gene_ids"":[""5817"",""2006"",""7422"",""3725"",""4015"",""333"",""5329"",""4907"",""3569"",""3678""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION""],""gene_set_hash"":""f0de61c04f45""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_45dfc2ba79dd	SHOULD_ABSTAIN	R1	v1	BRCA	ours	hard	0.2	HALLMARK_OXIDATIVE_PHOSPHORYLATION	up	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Mc7c03ab3f0f7	ACADM;IDH3B;COX6A1;PRDX3;NDUFA8;COX6B1;UQCRB;NDUFS4;IMMT;MDH1	'fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.96875		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_45dfc2ba79dd"",""entity"":""HALLMARK_OXIDATIVE_PHOSPHORYLATION"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""Mc7c03ab3f0f7"",""gene_ids"":[""34"",""3420"",""1337"",""10935"",""4702"",""1340"",""7381"",""4724"",""10989"",""4190""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION""],""gene_set_hash"":""ab434fa042fd""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_e273a9a3c17b	REJECT	R1	v1	BRCA	ours	hard	0.2	HALLMARK_APOPTOSIS	up	HALLMARK_APOPTOSIS	M8a4703cef1ef	TNF;IRF1;DAP3;SPTAN1;CDK2;BTG2;BIK;BID;ISG20;TAP1	'fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	0.96875		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_e273a9a3c17b"",""entity"":""HALLMARK_APOPTOSIS"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M8a4703cef1ef"",""gene_ids"":[""7124"",""3659"",""7818"",""6709"",""1017"",""7832"",""638"",""637"",""3669"",""6890""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS""],""gene_set_hash"":""12e377f78955""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_82ac83dff21d	REJECT	R1	v1	BRCA	ours	hard	0.2	HALLMARK_SPERMATOGENESIS	up	HALLMARK_SPERMATOGENESIS	Mfbdf55c7a75b	HTR5A;IL12RB2;GAD1;NPY5R;GFI1;GRM8;GSTM3;CCNB2;CST8;IFT88	'fgsea_msigdb_H_entrez:HALLMARK_SPERMATOGENESIS	0.96875		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_82ac83dff21d"",""entity"":""HALLMARK_SPERMATOGENESIS"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""Mfbdf55c7a75b"",""gene_ids"":[""3361"",""3595"",""2571"",""4889"",""2672"",""2918"",""2947"",""9133"",""10047"",""8100""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_SPERMATOGENESIS""],""gene_set_hash"":""96ab684f08bb""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_bc74aadd987a	SHOULD_ABSTAIN	R1	v1	BRCA	ours	hard	0.2	HALLMARK_PROTEIN_SECRETION	down	HALLMARK_PROTEIN_SECRETION	M999adeb5f600	LMAN1;SEC24D;CLN5;PAM;COPB1;CTSC;GBF1;RER1;RAB5A;LAMP2	'fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION	0.96875		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_bc74aadd987a"",""entity"":""HALLMARK_PROTEIN_SECRETION"",""direction"":""down"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M999adeb5f600"",""gene_ids"":[""3998"",""9871"",""1203"",""5066"",""1315"",""1075"",""8729"",""11079"",""5868"",""3920""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION""],""gene_set_hash"":""2d0388feb5a0""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_195697a2238b	SHOULD_ABSTAIN	R1	v1	BRCA	ours	hard	0.9	HALLMARK_COAGULATION	down	HALLMARK_COAGULATION	Maeee8aace4cd	APOC2;TF;MEP1A;S100A1;CFH;APOC1;FBN1;HMGCS2;KLK8;FN1	'fgsea_msigdb_H_entrez:HALLMARK_COAGULATION	0.96875		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_195697a2238b"",""entity"":""HALLMARK_COAGULATION"",""direction"":""down"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""Maeee8aace4cd"",""gene_ids"":[""344"",""7018"",""4224"",""6271"",""3075"",""341"",""2200"",""3158"",""11202"",""2335""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_COAGULATION""],""gene_set_hash"":""0559a0b4ddb3""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.90/audit_log.tsv
c_e27fb89598a7	REJECT	R1	v1	HNSC	ours	hard	0.2	HALLMARK_P53_PATHWAY	up	HALLMARK_P53_PATHWAY	Maf269dcd4575	IRAG2;TCHH;PMM1;FGF13;HRAS;MXD1;CD82;TP63;HBEGF;ITGB4	'fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	1		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_e27fb89598a7"",""entity"":""HALLMARK_P53_PATHWAY"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""Maf269dcd4575"",""gene_ids"":[""4033"",""7062"",""5372"",""2258"",""3265"",""4084"",""3732"",""8626"",""1839"",""3691""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY""],""gene_set_hash"":""73cbba12ef1c""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.20/audit_log.tsv
c_ac3b64507386	ACCEPT	R1	v1	HNSC	ours	hard	0.2	HALLMARK_MTORC1_SIGNALING	up	HALLMARK_MTORC1_SIGNALING	M852823ef4bff	USO1;PSME3;HPRT1;IMMT;SHMT2;DDX39A;TOMM40;PNP;NHERF1;SLC6A6	'fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	1		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_ac3b64507386"",""entity"":""HALLMARK_MTORC1_SIGNALING"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M852823ef4bff"",""gene_ids"":[""8615"",""10197"",""3251"",""10989"",""6472"",""10212"",""10452"",""4860"",""9368"",""6533""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING""],""gene_set_hash"":""5bd1e2775dba""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.20/audit_log.tsv
c_f80aebf125a3	SHOULD_ABSTAIN	R1	v1	HNSC	ours	hard	0.2	HALLMARK_OXIDATIVE_PHOSPHORYLATION	up	HALLMARK_OXIDATIVE_PHOSPHORYLATION	M03a383e6e086	SURF1;COX7A2L;COX6A1;IMMT;NDUFS8;COX5A;NDUFC1;ATP5F1E;ATP5F1D;ATP5PB	'fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.921875		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_f80aebf125a3"",""entity"":""HALLMARK_OXIDATIVE_PHOSPHORYLATION"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M03a383e6e086"",""gene_ids"":[""6834"",""9167"",""1337"",""10989"",""4728"",""9377"",""4717"",""514"",""513"",""515""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION""],""gene_set_hash"":""3fdf9a49257d""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.20/audit_log.tsv
c_005ed7635b04	REJECT	R1	v1	HNSC	ours	hard	0.2	HALLMARK_ESTROGEN_RESPONSE_LATE	up	HALLMARK_ESTROGEN_RESPONSE_LATE	M8e5c1d28573e	IGFBP4;HPRT1;FLNB;NBL1;RET;TPBG;SLC16A1;NHERF1;GLA;GJB3	'fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE	1		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_005ed7635b04"",""entity"":""HALLMARK_ESTROGEN_RESPONSE_LATE"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M8e5c1d28573e"",""gene_ids"":[""3487"",""3251"",""2317"",""4681"",""5979"",""7162"",""6566"",""9368"",""2717"",""2707""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE""],""gene_set_hash"":""0ea081758020""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.20/audit_log.tsv
c_ebe998d11a26	SHOULD_ABSTAIN	R1	v1	HNSC	ours	hard	0.2	HALLMARK_FATTY_ACID_METABOLISM	down	HALLMARK_FATTY_ACID_METABOLISM	M461f65de8e09	SLC22A5;CRAT;GPD1;HSP90AA1;ADH1C;ACAA2;H2AZ1;FASN;CBR1;ALDH1A1	'fgsea_msigdb_H_entrez:HALLMARK_FATTY_ACID_METABOLISM	1		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_ebe998d11a26"",""entity"":""HALLMARK_FATTY_ACID_METABOLISM"",""direction"":""down"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M461f65de8e09"",""gene_ids"":[""6584"",""1384"",""2819"",""3320"",""126"",""10449"",""3015"",""2194"",""873"",""216""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_FATTY_ACID_METABOLISM""],""gene_set_hash"":""f8bb6661691d""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.20/audit_log.tsv
