claim_id,decision,module_id,term_uid,term_id,term_name,direction,direction_source,stability,context_fit,evidence_strength,score_source,_join,term_label,evidence_strength_filled,utility_score,rank_global,module_utility_sum,module_rank,rank_in_module
c_53616a95d82a,PASS,Mf1237f2d6d20,fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,down,audit,0.953125,0.817253804,0.018664324,#NAME?,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY: HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.018664324,0.014538482,11,0.014538482,15,1
c_87844015517c,PASS,Mf4596493a738,fgsea_msigdb_H_entrez:HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,down,audit,0.953125,0.790138804,0.018664324,#NAME?,HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS: HALLMARK_GLYCOLYSIS,0.018664324,0.014056122,12,0.023684581,5,1
c_715e2eaa872c,PASS,M94039d22fbff,fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,down,audit,0.984375,0.755991013,0.018664324,#NAME?,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE: HALLMARK_INTERFERON_GAMMA_RESPONSE,0.018664324,0.013889592,13,0.024356413,4,1
c_0b9ccd4c801b,PASS,M0332a8692e9e,fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,up,audit,0.921875,0.796799504,0.018664324,#NAME?,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING: HALLMARK_HEDGEHOG_SIGNALING,0.018664324,0.013709871,14,0.013709871,16,1
c_3292b112f56f,PASS,Mdd3caae7261b,fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,down,audit,0.9375,0.775165482,0.018664324,#NAME?,HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR: HALLMARK_DNA_REPAIR,0.018664324,0.013563694,15,0.013563694,17,1
c_326be8fc2d3b,PASS,M591a524fec18,fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,up,audit,0.9375,0.774990908,0.018664324,#NAME?,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING: HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.018664324,0.013560639,16,0.013560639,18,1
c_3de6c9d2aa73,PASS,M03a383e6e086,fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,up,audit,1,0.71620383,0.018664324,#NAME?,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION: HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.018664324,0.01336746,17,0.021723502,6,1
c_5e329498da2b,PASS,Mc4fe664d694a,fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,down,audit,0.921875,0.761543457,0.018664324,#NAME?,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION: HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.018664324,0.013103249,18,0.029586797,3,1
c_12ba6a29e800,PASS,M8e5c1d28573e,fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,up,audit,1,0.682455849,0.018664324,#NAME?,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE: HALLMARK_ESTROGEN_RESPONSE_LATE,0.018664324,0.012737577,19,0.012737577,19,1
c_0915cd0d36c4,ABSTAIN,M0b9664e418b9,fgsea_msigdb_H_entrez:HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,down,audit,0.828125,0.776834045,0.018664324,#NAME?,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING: HALLMARK_IL2_STAT5_SIGNALING,0.018664324,0.012007053,20,0.012007053,20,1
c_b0e66db519e8,PASS,M316384fde50c,fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,up,audit,0.984375,0.639246263,0.018664324,#NAME?,HALLMARK_PEROXISOME,HALLMARK_PEROXISOME: HALLMARK_PEROXISOME,0.018664324,0.011744676,21,0.011744676,21,1
c_df4191b7d7a7,PASS,Me56b74484d20,fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,down,audit,0.96875,0.984026391,0.011727836,#NAME?,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2: HALLMARK_MYC_TARGETS_V2,0.011727836,0.01117986,22,0.01117986,22,1
c_a109d5f2a3c3,PASS,Mdf6350d89cee,fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,up,audit,1,0.597218031,0.018664324,#NAME?,HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS: HALLMARK_APOPTOSIS,0.018664324,0.011146671,23,0.02155857,7,1
c_02aa46f2c7ef,PASS,Mc4fe664d694a,fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,down,audit,1,0.580286117,0.018664324,#NAME?,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT: HALLMARK_COMPLEMENT,0.018664324,0.010830648,24,0.029586797,3,2
c_d65586fa6a4a,PASS,M94039d22fbff,fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,down,audit,0.984375,0.569694446,0.018664324,#NAME?,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE: HALLMARK_INTERFERON_ALPHA_RESPONSE,0.018664324,0.010466822,25,0.024356413,4,2
c_4a9ab1657291,PASS,Mdf6350d89cee,fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,up,audit,1,0.55785031,0.018664324,#NAME?,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB: HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.018664324,0.010411899,26,0.02155857,7,2
c_42c3c521f936,PASS,Mf4596493a738,fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,down,audit,0.96875,0.532516149,0.018664324,#NAME?,HALLMARK_HYPOXIA,HALLMARK_HYPOXIA: HALLMARK_HYPOXIA,0.018664324,0.009628459,27,0.023684581,5,2
c_a7db1781567b,PASS,M0b67a17cb0b6,fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,down,audit,0.984375,0.515810845,0.018664324,#NAME?,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1: HALLMARK_MYC_TARGETS_V1,0.018664324,0.009476835,28,0.040946786,2,3
c_37366b7dfe92,PASS,M740963684598,fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,down,audit,0.96875,0.515043451,0.018664324,#NAME?,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN: HALLMARK_KRAS_SIGNALING_DN,0.018664324,0.009312534,29,0.009312534,23,1
c_a677bb83e9ea,PASS,Me43c4cd101bd,fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,down,audit,0.953125,0.493100381,0.018664324,#NAME?,HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM: HALLMARK_HEME_METABOLISM,0.018664324,0.008771977,30,0.008771977,24,1
c_af13b58fb0a4,PASS,M63bca3f82c8e,fgsea_msigdb_H_entrez:HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,down,audit,0.96875,0.467803248,0.018664324,#NAME?,HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS: HALLMARK_SPERMATOGENESIS,0.018664324,0.00845838,31,0.00845838,25,1
c_0a5a95d3c933,PASS,M03a383e6e086,fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,up,audit,0.9375,0.47754805,0.018664324,#NAME?,HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS: HALLMARK_ADIPOGENESIS,0.018664324,0.008356042,32,0.021723502,6,2
c_40f168bf3a97,PASS,M461f65de8e09,fgsea_msigdb_H_entrez:HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,down,audit,0.984375,0.446605347,0.018664324,#NAME?,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM: HALLMARK_FATTY_ACID_METABOLISM,0.018664324,0.008205343,33,0.008205343,26,1
c_bb0a0bcb10b6,PASS,M3297d664d230,fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,up,audit,0.953125,0.439736244,0.018664324,#NAME?,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS: HALLMARK_PANCREAS_BETA_CELLS,0.018664324,0.007822659,34,0.007822659,27,1
c_7ab67ba67ec2,PASS,Mf906280fa5e1,fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,up,audit,0.9375,0.426775688,0.018664324,#NAME?,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION: HALLMARK_APICAL_JUNCTION,0.018664324,0.007467637,35,0.007467637,28,1
c_7eb60753a906,PASS,M40cd09ad5a42,fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,down,audit,0.96875,0.397388666,0.018664324,#NAME?,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP: HALLMARK_KRAS_SIGNALING_UP,0.018664324,0.00718521,36,0.00718521,29,1
c_301093d58998,PASS,Mc4fe664d694a,fgsea_msigdb_H_entrez:HALLMARK_COAGULATION,HALLMARK_COAGULATION,HALLMARK_COAGULATION,down,audit,0.953125,0.317767265,0.018664324,#NAME?,HALLMARK_COAGULATION,HALLMARK_COAGULATION: HALLMARK_COAGULATION,0.018664324,0.0056529,37,0.029586797,3,3
c_9da4a1e8752d,PASS,Maf269dcd4575,fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,up,audit,1,0.301704621,0.018664324,#NAME?,HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY: HALLMARK_P53_PATHWAY,0.018664324,0.005631113,38,0.005631113,30,1
c_008939fd9559,PASS,Md4f5e0a53b7c,fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,down,audit,0.90625,0.262349212,0.018664324,#NAME?,HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION: HALLMARK_PROTEIN_SECRETION,0.018664324,0.004437517,39,0.004437517,31,1
c_145039799071,ABSTAIN,M6f6e9e05805a,fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,up,audit,0.84375,0.242417294,0.018664324,#NAME?,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING: HALLMARK_TGF_BETA_SIGNALING,0.018664324,0.003817593,40,0.003817593,32,1
c_0d073d7a90b7,ABSTAIN,Me89ae70f36de,fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,down,audit,0.984375,0.194218417,0.018664324,#NAME?,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION: HALLMARK_ALLOGRAFT_REJECTION,0.018664324,0.003568316,41,0.003568316,33,1
c_76515e61f86f,ABSTAIN,M557bebe138f3,fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,down,audit,0.96875,0.188607555,0.018664324,#NAME?,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM: HALLMARK_XENOBIOTIC_METABOLISM,0.018664324,0.003410225,42,0.003410225,34,1
c_8866fb2aaa21,ABSTAIN,Ma4188ca7ae89,fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,up,audit,0.921875,0.187402206,0.018664324,#NAME?,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING: HALLMARK_IL6_JAK_STAT3_SIGNALING,0.018664324,0.003224475,43,0.003224475,35,1
c_79cd2596fe00,ABSTAIN,Mcf69f9e4157c,fgsea_msigdb_H_entrez:HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,up,audit,0.796875,0.202725414,0.018664324,#NAME?,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE: HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.018664324,0.003015162,44,0.003015162,36,1
c_d8a8138f5d57,ABSTAIN,M5ff3f8386599,fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,up,audit,0.90625,0.134919248,0.018664324,#NAME?,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS: HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.018664324,0.002282098,45,0.002282098,37,1
c_0e77174bb228,ABSTAIN,Me6bf443283c2,fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,up,audit,0.9375,0.129046712,0.018664324,#NAME?,HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS: HALLMARK_ANGIOGENESIS,0.018664324,0.002258034,46,0.002258034,38,1
c_e2df6d48cfc1,ABSTAIN,M719ba53cf8d5,fgsea_msigdb_H_entrez:HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,up,audit,0.84375,0.114770376,0.018664324,#NAME?,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE: HALLMARK_MITOTIC_SPINDLE,0.018664324,0.001807407,47,0.001807407,39,1
c_bd21ea891ea0,ABSTAIN,Mea4001d70482,fgsea_msigdb_H_entrez:HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,down,audit,0.953125,0.086117668,0.018664324,#NAME?,HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING: HALLMARK_NOTCH_SIGNALING,0.018664324,0.001531985,48,0.001531985,40,1
c_40e9b101a991,ABSTAIN,Me334011e2fa6,fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,down,audit,0.96875,0.030172094,0.018664324,#NAME?,HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS: HALLMARK_MYOGENESIS,0.018664324,0.000545544,49,0.000545544,41,1
c_f486da562f1b,ABSTAIN,Ma9ddf8f5a0b5,fgsea_msigdb_H_entrez:HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,down,audit,0.984375,0.025939161,0.018664324,#NAME?,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING: HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.018664324,0.000476572,50,0.000476572,42,1
